"binary","filename","configuration","rate","time"
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",134134.94378823007,37.275894400
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19250078.540320445,0.259739200
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",113605.86226971021,44.011813300
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",20315772.10904531,0.246114200
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",133842.86813552488,37.357238900
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19120868.362764172,0.261494400
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",101822.12297859743,49.105242100
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19783317.282468576,0.252738200
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",133205.00611693374,37.536126800
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19047793.19887115,0.262497600
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",139232.4391310932,35.911171500
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19531425.477650777,0.255997700
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",88972.69135737978,56.197018700
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",16396168.149918692,0.304949300
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",131740.23902316616,37.953476000
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",16996506.53804617,0.294178100
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",90308.01145759416,55.366073500
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",18979344.02072848,0.263444300
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",107121.69655246666,46.675885100
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19940505.507767025,0.250745900
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",107734.04107530968,46.410586200
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19133028.88857766,0.261328200
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",97716.09710158793,51.168642100
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19914019.23057009,0.251079400
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",133270.1060857498,37.517791100
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19148203.649571024,0.261121100
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",139879.9445126474,35.744938400
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19946272.719801944,0.250673400
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",95155.97219035501,52.545309400
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19017097.51168886,0.262921300
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",101072.45025651641,49.469464600
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19945500.91330449,0.250683100
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",132365.26671865975,37.774260000
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19062607.703733526,0.262293600
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",98625.21694441033,50.696973400
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",20015692.30276537,0.249804000
"old","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",132301.1553523852,37.792564900
"old","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",18972387.208209425,0.263540900
"new","abort_controller\abort-signal-static-abort.js","kind='default-reason' n=5000000",98599.47958248122,50.710206800
"new","abort_controller\abort-signal-static-abort.js","kind='same-reason' n=5000000",19931674.220771197,0.250857000
