"binary","filename","configuration","rate","time"
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=0 len=100 n=20000",851302.9191177096,0.023493400
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=0 len=100 n=20000",1526088.4826102217,0.013105400
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=1 len=100 n=20000",859446.1728861921,0.023270800
"old","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=0 strict=1 len=100 n=20000",1196666.0882780573,0.016713100
"old","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=0 strict=1 len=100 n=20000",1706965.2717915454,0.011716700
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=1 len=100 n=20000",1070526.2707146835,0.018682400
"old","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=1 strict=1 len=100 n=20000",1462672.5953662533,0.013673600
"old","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=1 strict=1 len=100 n=20000",1818330.5906846924,0.010999100
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=0 len=1000 n=20000",840364.3819960335,0.023799200
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=0 len=1000 n=20000",1472613.0782767483,0.013581300
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=1 len=1000 n=20000",837464.8264772879,0.023881600
"old","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=0 strict=1 len=1000 n=20000",1199882.4115236707,0.016668300
"old","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=0 strict=1 len=1000 n=20000",1750715.605003545,0.011423900
"old","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=1 len=1000 n=20000",1009922.4884490115,0.019803500
"old","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=1 strict=1 len=1000 n=20000",1419809.1776465243,0.014086400
"old","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=1 strict=1 len=1000 n=20000",1806684.7335140018,0.011070000
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=0 len=100 n=20000",864790.0722099709,0.023127000
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=0 len=100 n=20000",1459513.1064276956,0.013703200
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=1 len=100 n=20000",906971.8929410378,0.022051400
"new","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=0 strict=1 len=100 n=20000",1182955.9703787826,0.016906800
"new","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=0 strict=1 len=100 n=20000",1762362.9762785945,0.011348400
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=1 len=100 n=20000",1092013.0167951602,0.018314800
"new","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=1 strict=1 len=100 n=20000",1497611.3099606128,0.013354600
"new","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=1 strict=1 len=100 n=20000",1888271.004654588,0.010591700
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=0 len=1000 n=20000",869202.4198595368,0.023009600
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=0 len=1000 n=20000",1470199.0649533947,0.013603600
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=0 strict=1 len=1000 n=20000",886890.4291219341,0.022550700
"new","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=0 strict=1 len=1000 n=20000",1198544.9664107773,0.016686900
"new","assert\deepequal-buffer.js","method='unequal_length' arrayBuffer=0 strict=1 len=1000 n=20000",1721362.9752037665,0.011618700
"new","assert\deepequal-buffer.js","method='deepEqual' arrayBuffer=1 strict=1 len=1000 n=20000",1080567.081604426,0.018508800
"new","assert\deepequal-buffer.js","method='notDeepEqual' arrayBuffer=1 strict=1 len=1000 n=20000",1451578.9550083103,0.013778100
