"binary","filename","configuration","rate","time"
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",282997509.62191534,0.001766800
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",276977620.2082872,0.001805200
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",278924467.2542675,0.001792600
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",286582220.43904394,0.001744700
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",316696224.9809982,0.001578800
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",291579192.90879405,0.001714800
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",283205890.68252623,0.001765500
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",298846452.6926065,0.001673100
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",277824081.7914097,0.001799700
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",288300755.347979,0.001734300
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",315000315.000315,0.001587300
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",274559332.2717039,0.001821100
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",274258131.7536065,0.001823100
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",259416830.96399295,0.001927400
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",282645562.4646693,0.001769000
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",294377391.8163085,0.001698500
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",278303462.09506845,0.001796600
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",262164429.53020135,0.001907200
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",274982126.1617995,0.001818300
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",292791473.91227967,0.001707700
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",225998915.20520705,0.002212400
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",275527635.4218328,0.001814700
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",283559235.52430105,0.001763300
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",267995926.46191776,0.001865700
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",274122807.01754385,0.001824000
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",265153523.89033252,0.001885700
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",270007560.2116859,0.001851800
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",301041603.94966584,0.001660900
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",304154753.9388041,0.001643900
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",276243093.92265195,0.001810000
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",275527635.4218328,0.001814700
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",264858565.5260091,0.001887800
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",272583546.8571117,0.001834300
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",289402095.2711698,0.001727700
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",281563239.1035027,0.001775800
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",289838270.2452032,0.001725100
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",293634014.56424713,0.001702800
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",283189850.47575897,0.001765600
"old","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=1000",242647772.4934485,0.002060600
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=10",283221932.70646876,0.001765400
"new","async_hooks\async-local-storage-getstore-nested-resources.js","n=500000 resourceCount=100",279892521.27183163,0.001786400
