"binary","filename","configuration","rate","time"
"old","blob\blob.js","operation='text' n=1000 bytes=128",3362.984770050872,0.297354900
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3498.0372512982967,0.285874600
"old","blob\blob.js","operation='text' n=1000 bytes=1024",450.40664738956247,2.220215900
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",458.3234354568084,2.181865300
"old","blob\blob.js","operation='text' n=1000 bytes=8192",55.72394495862879,17.945606700
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",56.69220883112565,17.639108100
"new","blob\blob.js","operation='text' n=1000 bytes=128",3792.1995971167144,0.263699200
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3799.828095776947,0.263169800
"new","blob\blob.js","operation='text' n=1000 bytes=1024",501.15579054193734,1.995387500
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",503.5444747348826,1.985921900
"new","blob\blob.js","operation='text' n=1000 bytes=8192",60.666111600056375,16.483667300
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",61.07914374638713,16.372200700
"old","blob\blob.js","operation='text' n=1000 bytes=128",3469.2516754750964,0.288246600
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3473.7238841096237,0.287875500
"old","blob\blob.js","operation='text' n=1000 bytes=1024",452.71322124968856,2.208903900
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",456.64975890491,2.189862100
"old","blob\blob.js","operation='text' n=1000 bytes=8192",56.35652866799411,17.744173100
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",56.076566674970486,17.832760800
"new","blob\blob.js","operation='text' n=1000 bytes=128",3812.726499783628,0.262279500
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3836.366684531348,0.260663300
"new","blob\blob.js","operation='text' n=1000 bytes=1024",491.1530564552934,2.036025200
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",489.51989308493916,2.042817900
"new","blob\blob.js","operation='text' n=1000 bytes=8192",60.90152639139936,16.419949700
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",61.25785269773794,16.324437700
"old","blob\blob.js","operation='text' n=1000 bytes=128",3432.7197232404046,0.291314200
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3480.454463822068,0.287318800
"old","blob\blob.js","operation='text' n=1000 bytes=1024",456.65799594907827,2.189822600
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",458.17415217851266,2.182576200
"old","blob\blob.js","operation='text' n=1000 bytes=8192",56.01471439329455,17.852452000
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",55.41823747582608,18.044601300
"new","blob\blob.js","operation='text' n=1000 bytes=128",3655.641495625294,0.273549800
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3777.0526676001023,0.264756700
"new","blob\blob.js","operation='text' n=1000 bytes=1024",496.9401407771786,2.012314800
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",510.351067947886,1.959435500
"new","blob\blob.js","operation='text' n=1000 bytes=8192",60.83433684641489,16.438085000
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",61.3438866575016,16.301542900
"old","blob\blob.js","operation='text' n=1000 bytes=128",3456.863187034274,0.289279600
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3491.339731795282,0.286423000
"old","blob\blob.js","operation='text' n=1000 bytes=1024",455.19601241009997,2.196855800
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",459.7521476172195,2.175085000
"old","blob\blob.js","operation='text' n=1000 bytes=8192",55.533388786383824,18.007184900
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",56.021788486970095,17.850197700
"new","blob\blob.js","operation='text' n=1000 bytes=128",3727.7671308606555,0.268257100
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3811.818161026446,0.262342000
"new","blob\blob.js","operation='text' n=1000 bytes=1024",499.95692871059157,2.000172300
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",504.1395655940274,1.983577700
"new","blob\blob.js","operation='text' n=1000 bytes=8192",61.343308655022504,16.301696500
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",60.97791464690791,16.399380100
"old","blob\blob.js","operation='text' n=1000 bytes=128",3340.579049291246,0.299349300
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3485.350375302529,0.286915200
"old","blob\blob.js","operation='text' n=1000 bytes=1024",454.6476055961119,2.199505700
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",460.7794443709501,2.170235700
"old","blob\blob.js","operation='text' n=1000 bytes=8192",56.24058841873107,17.780752800
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",55.55609290643194,17.999825900
"new","blob\blob.js","operation='text' n=1000 bytes=128",3794.0728993166877,0.263569000
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3871.771571672106,0.258279700
"new","blob\blob.js","operation='text' n=1000 bytes=1024",505.6655015627845,1.977591900
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",502.7916247987891,1.988895500
"new","blob\blob.js","operation='text' n=1000 bytes=8192",60.869162951618755,16.428680000
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",61.176398903890224,16.346173000
"old","blob\blob.js","operation='text' n=1000 bytes=128",3431.799673498579,0.291392300
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3411.761775781063,0.293103700
"old","blob\blob.js","operation='text' n=1000 bytes=1024",455.1193600584883,2.197225800
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",454.4736270544878,2.200347700
"old","blob\blob.js","operation='text' n=1000 bytes=8192",55.79316531827883,17.923342300
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",55.49095853072993,18.020953800
"new","blob\blob.js","operation='text' n=1000 bytes=128",3816.3350589528363,0.262031500
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3875.175932987357,0.258052800
"new","blob\blob.js","operation='text' n=1000 bytes=1024",509.0836560372205,1.964313700
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",502.8315955641001,1.988737400
"new","blob\blob.js","operation='text' n=1000 bytes=8192",60.91890651220735,16.415265100
"new","blob\blob.js","operation='arrayBuffer' n=1000 bytes=8192",60.94898434094427,16.407164300
"old","blob\blob.js","operation='text' n=1000 bytes=128",3405.201240582916,0.293668400
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=128",3443.7977374937623,0.290377100
"old","blob\blob.js","operation='text' n=1000 bytes=1024",452.04372130708987,2.212175400
"old","blob\blob.js","operation='arrayBuffer' n=1000 bytes=1024",454.89727623432395,2.198298500
