"binary","filename","configuration","rate","time"
"old","buffers\buffer-atob.js","n=1000000 size=16",8396242.177850882,0.119100900
"old","buffers\buffer-atob.js","n=1000000 size=32",7519797.747519783,0.132982300
"old","buffers\buffer-atob.js","n=1000000 size=64",7364301.694820392,0.135790200
"old","buffers\buffer-atob.js","n=1000000 size=128",6336778.217198143,0.157808900
"new","buffers\buffer-atob.js","n=1000000 size=16",7611224.729782494,0.131384900
"new","buffers\buffer-atob.js","n=1000000 size=32",6524434.005350037,0.153270000
"new","buffers\buffer-atob.js","n=1000000 size=64",6128911.854602599,0.163161100
"new","buffers\buffer-atob.js","n=1000000 size=128",5460136.634459141,0.183145600
"old","buffers\buffer-atob.js","n=1000000 size=16",8311329.089568701,0.120317700
"old","buffers\buffer-atob.js","n=1000000 size=32",7512865.7826527925,0.133105000
"old","buffers\buffer-atob.js","n=1000000 size=64",7366341.418138584,0.135752600
"old","buffers\buffer-atob.js","n=1000000 size=128",6413866.2657572655,0.155912200
"new","buffers\buffer-atob.js","n=1000000 size=16",7543731.008657186,0.132560400
"new","buffers\buffer-atob.js","n=1000000 size=32",6520307.497701592,0.153367000
"new","buffers\buffer-atob.js","n=1000000 size=64",6254119.901485103,0.159894600
"new","buffers\buffer-atob.js","n=1000000 size=128",5560405.46476649,0.179843000
"old","buffers\buffer-atob.js","n=1000000 size=16",8239261.56442155,0.121370100
"old","buffers\buffer-atob.js","n=1000000 size=32",7421541.320544533,0.134742900
"old","buffers\buffer-atob.js","n=1000000 size=64",7405734.260037547,0.135030500
"old","buffers\buffer-atob.js","n=1000000 size=128",6522710.447099188,0.153310500
"new","buffers\buffer-atob.js","n=1000000 size=16",7606008.746910059,0.131475000
"new","buffers\buffer-atob.js","n=1000000 size=32",6333571.475620816,0.157888800
"new","buffers\buffer-atob.js","n=1000000 size=64",6095802.856858967,0.164047300
"new","buffers\buffer-atob.js","n=1000000 size=128",5631670.713960686,0.177567200
"old","buffers\buffer-atob.js","n=1000000 size=16",8154611.432765229,0.122630000
"old","buffers\buffer-atob.js","n=1000000 size=32",7432783.48078737,0.134539100
"old","buffers\buffer-atob.js","n=1000000 size=64",7448906.090896022,0.134247900
"old","buffers\buffer-atob.js","n=1000000 size=128",6482477.8623381,0.154262000
"new","buffers\buffer-atob.js","n=1000000 size=16",7475456.208403758,0.133771100
"new","buffers\buffer-atob.js","n=1000000 size=32",6561972.581453766,0.152393200
"new","buffers\buffer-atob.js","n=1000000 size=64",6111274.078419869,0.163632000
"new","buffers\buffer-atob.js","n=1000000 size=128",5678475.624575534,0.176103600
"old","buffers\buffer-atob.js","n=1000000 size=16",8278755.636797744,0.120791100
"old","buffers\buffer-atob.js","n=1000000 size=32",7346820.626639719,0.136113300
"old","buffers\buffer-atob.js","n=1000000 size=64",7429652.3368485505,0.134595800
"old","buffers\buffer-atob.js","n=1000000 size=128",6513928.081022844,0.153517200
"new","buffers\buffer-atob.js","n=1000000 size=16",7765367.857123444,0.128776900
"new","buffers\buffer-atob.js","n=1000000 size=32",6429925.387145808,0.155522800
"new","buffers\buffer-atob.js","n=1000000 size=64",6094859.169136609,0.164072700
"new","buffers\buffer-atob.js","n=1000000 size=128",5693784.835287345,0.175630100
"old","buffers\buffer-atob.js","n=1000000 size=16",8480088.32860003,0.117923300
"old","buffers\buffer-atob.js","n=1000000 size=32",7348251.263164392,0.136086800
"old","buffers\buffer-atob.js","n=1000000 size=64",7408554.36137891,0.134979100
"old","buffers\buffer-atob.js","n=1000000 size=128",6518573.371106293,0.153407800
"new","buffers\buffer-atob.js","n=1000000 size=16",7690414.667158852,0.130032000
"new","buffers\buffer-atob.js","n=1000000 size=32",6523604.03028257,0.153289500
"new","buffers\buffer-atob.js","n=1000000 size=64",6015754.056723748,0.166230200
"new","buffers\buffer-atob.js","n=1000000 size=128",5675842.422721987,0.176185300
"old","buffers\buffer-atob.js","n=1000000 size=16",8518243.095325103,0.117395100
"old","buffers\buffer-atob.js","n=1000000 size=32",7556008.916090522,0.132345000
"old","buffers\buffer-atob.js","n=1000000 size=64",7421717.578412302,0.134739700
"old","buffers\buffer-atob.js","n=1000000 size=128",6455698.735780517,0.154901900
"new","buffers\buffer-atob.js","n=1000000 size=16",7396028.480626474,0.135207700
"new","buffers\buffer-atob.js","n=1000000 size=32",6521349.267163376,0.153342500
"new","buffers\buffer-atob.js","n=1000000 size=64",6052462.747091792,0.165222000
"new","buffers\buffer-atob.js","n=1000000 size=128",5691963.459871373,0.175686300
"old","buffers\buffer-atob.js","n=1000000 size=16",8418805.25367123,0.118781700
"old","buffers\buffer-atob.js","n=1000000 size=32",7531799.256460777,0.132770400
"old","buffers\buffer-atob.js","n=1000000 size=64",7225130.738740718,0.138405800
"old","buffers\buffer-atob.js","n=1000000 size=128",6452720.273285609,0.154973400
"new","buffers\buffer-atob.js","n=1000000 size=16",7815717.877594915,0.127947300
"new","buffers\buffer-atob.js","n=1000000 size=32",5867945.409330268,0.170417400
"new","buffers\buffer-atob.js","n=1000000 size=64",6084623.729910854,0.164348700
"new","buffers\buffer-atob.js","n=1000000 size=128",5598865.893724567,0.178607600
"old","buffers\buffer-atob.js","n=1000000 size=16",8403587.323356595,0.118996800
"old","buffers\buffer-atob.js","n=1000000 size=32",7509243.879215315,0.133169200
"old","buffers\buffer-atob.js","n=1000000 size=64",7274298.521207854,0.137470300
"old","buffers\buffer-atob.js","n=1000000 size=128",6388392.546279113,0.156533900
"new","buffers\buffer-atob.js","n=1000000 size=16",7714960.001789872,0.129618300
"new","buffers\buffer-atob.js","n=1000000 size=32",6586443.781409104,0.151827000
"new","buffers\buffer-atob.js","n=1000000 size=64",6101891.830543142,0.163883600
"new","buffers\buffer-atob.js","n=1000000 size=128",5502284.273316067,0.181742700
"old","buffers\buffer-atob.js","n=1000000 size=16",8367892.730309512,0.119504400
"old","buffers\buffer-atob.js","n=1000000 size=32",7495015.814483368,0.133422000
"old","buffers\buffer-atob.js","n=1000000 size=64",7475880.939120163,0.133763500
"old","buffers\buffer-atob.js","n=1000000 size=128",6469481.192894698,0.154571900
"new","buffers\buffer-atob.js","n=1000000 size=16",7673896.244318439,0.130311900
"new","buffers\buffer-atob.js","n=1000000 size=32",6545804.924539961,0.152769600
"new","buffers\buffer-atob.js","n=1000000 size=64",6134931.687535659,0.163001000
"new","buffers\buffer-atob.js","n=1000000 size=128",5702772.631025478,0.175353300
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",75.43545706932778,0.424203700
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",78.24420014866398,0.408976000
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",74.93311633951727,0.427047500
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",77.60971770677835,0.412319500
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",74.72782142479333,0.428220700
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",77.32542938569296,0.413835400
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",73.88906065529899,0.433081700
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",79.21145001509969,0.403982000
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",74.42805528329876,0.429945400
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",76.55463931879768,0.418002100
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",73.74539494576717,0.433925400
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",79.00288483971673,0.405048500
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",74.09105327378265,0.431901000
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",79.30766392088664,0.403491900
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",74.79211298470547,0.427852600
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",77.05134147589436,0.415307500
"old","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",75.08358327954298,0.426191700
"new","buffers\buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",76.93998152478693,0.415908600
