"binary","filename","configuration","rate","time"
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7459854.588432995,5.378086600
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40748864.39016006,5.008586400
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",151320899.82434464,5.006052600
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",267216676.37517914,5.004886200
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",325199743.43245023,5.004530000
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",489539202.13431287,5.004702000
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",285800617.42887753,5.008058600
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",279857922.4612997,5.005745500
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7605974.4181360025,5.492297200
"new","child_process\child-process-read-ipc.js","dur=5 len=256",41853045.70671842,5.012396600
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",124166260.43815452,5.004572400
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",205426910.80611554,5.004560600
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",237379161.1875625,5.004391700
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",302498251.4089078,5.005029500
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",222143848.94637832,5.008192400
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",228042325.70930234,5.011998700
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7325539.381997701,5.767823200
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40591389.08397962,5.018462600
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",167603331.81128967,5.005769700
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",256518232.29273725,5.004285600
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",304773610.4979431,5.008143000
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",521574242.61611474,5.004905800
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",291386185.26239616,5.005622400
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",280547782.7601538,5.008386900
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7608708.512020702,5.723917000
"new","child_process\child-process-read-ipc.js","dur=5 len=256",41636270.330284856,5.017699000
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",132195697.55788366,5.004687900
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",204586102.77348262,5.004787100
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",239523543.52936837,5.007265400
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",297344176.9026571,5.005166200
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",223191115.22934875,5.008183300
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",227500261.26238668,5.005504300
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7441013.011714577,5.915177400
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40538653.583181195,5.010611800
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",165816870.1696278,5.005553700
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",278142895.0081201,5.004964200
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",320581859.06755,5.004813300
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",499567984.98072934,5.004983400
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",288015310.401943,5.005956100
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",282260510.8249052,5.007715900
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7585929.197654052,5.182740700
"new","child_process\child-process-read-ipc.js","dur=5 len=256",42493832.33910131,5.010165200
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",134920441.231016,5.004734300
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",203268973.7777818,5.004431700
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",237670128.36390212,5.005020800
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",304767229.9813094,5.006473800
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",221039367.34873745,5.004754100
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",228660862.2372438,5.007612500
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7462763.577625027,5.507296000
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40614735.938731626,5.016983400
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",161473976.82874388,5.005408400
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",260816836.1752845,5.004367000
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",332394309.1955178,5.005042800
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",502067911.3428114,5.004471800
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",288842723.6872373,5.006137200
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",282625757.8242663,5.008664500
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7633649.746512665,5.540119000
"new","child_process\child-process-read-ipc.js","dur=5 len=256",41240401.383023344,5.011542300
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",132605893.63605447,5.006596900
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",202486258.19026798,5.006582200
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",230995029.14463055,5.004249400
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",298870265.7192367,5.004387400
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",224622183.1490786,5.008953400
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",226937445.01916486,5.008677100
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7387460.495690186,5.033628000
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40850512.33656997,5.007372400
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",150883799.67277476,5.005420500
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",263624063.63176417,5.005349200
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",315687476.63670903,5.005181000
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",499897286.15856135,5.005226100
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",286974161.80190676,5.005848300
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",283805201.80208546,5.010017600
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7576960.172645325,6.056161700
"new","child_process\child-process-read-ipc.js","dur=5 len=256",41968270.894332014,5.014897100
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",128665857.27462858,5.004661700
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",202888136.8996427,5.004740600
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",235425865.2575166,5.004435000
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",293433098.1022159,5.004652500
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",223056112.80185303,5.006513500
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",227510475.52642065,5.014497400
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7363408.219047274,5.814255400
"old","child_process\child-process-read-ipc.js","dur=5 len=256",41136078.87566036,5.006117200
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",160631282.33058962,5.005785600
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",260577883.80674616,5.005089200
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",323968793.0680462,5.004580400
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",499583396.75541365,5.004829000
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",293014818.0675215,5.006428800
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",284371944.5641282,5.007407500
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7474010.387804538,5.074412000
"new","child_process\child-process-read-ipc.js","dur=5 len=256",41976041.76595599,5.006412400
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",135260176.1806325,5.004556900
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",205042811.05517197,5.004466700
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",237970181.39130476,5.004975300
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",300792626.1248533,5.005086100
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",225012428.17171493,5.009586400
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",228652976.56936246,5.007785200
"old","child_process\child-process-read-ipc.js","dur=5 len=64",7212813.989368507,5.509235100
"old","child_process\child-process-read-ipc.js","dur=5 len=256",40894084.34402179,5.005160900
"old","child_process\child-process-read-ipc.js","dur=5 len=1024",149896679.301478,5.005483000
"old","child_process\child-process-read-ipc.js","dur=5 len=4096",251014728.9571349,5.005018300
"old","child_process\child-process-read-ipc.js","dur=5 len=16384",325966885.8707136,5.005518900
"old","child_process\child-process-read-ipc.js","dur=5 len=65536",486106993.7610726,5.004850700
"old","child_process\child-process-read-ipc.js","dur=5 len=1048576",293964917.1149919,5.008083000
"old","child_process\child-process-read-ipc.js","dur=5 len=2097152",283523997.0429687,5.007589900
"new","child_process\child-process-read-ipc.js","dur=5 len=64",7590266.79977547,5.747478600
"new","child_process\child-process-read-ipc.js","dur=5 len=256",42087164.83463633,5.006849400
"new","child_process\child-process-read-ipc.js","dur=5 len=1024",116890441.46509618,5.004957400
"new","child_process\child-process-read-ipc.js","dur=5 len=4096",203547646.21209532,5.004522700
"new","child_process\child-process-read-ipc.js","dur=5 len=16384",236825986.1612145,5.005150200
"new","child_process\child-process-read-ipc.js","dur=5 len=65536",295677020.76310563,5.006124900
"new","child_process\child-process-read-ipc.js","dur=5 len=1048576",224375272.77074823,5.005118800
"new","child_process\child-process-read-ipc.js","dur=5 len=2097152",229888268.2144295,5.008243600
