"binary","filename","configuration","rate","time"
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",24089.82034052888,4.151131000
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",17699.453056811475,5.649892100
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",7320.790150157972,13.659727700
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",5682.100123752163,17.599126700
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",22449.49794616278,4.454442600
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",17209.676119746717,5.810684600
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",6790.489107861942,14.726479700
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",4428.734228208981,22.579815100
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",21789.716208339236,4.589320900
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",22331.45928471398,4.477987700
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",7731.362670839438,12.934330500
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",6046.76029881493,16.537781400
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",23517.714883359895,4.252113800
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",15799.228460477361,6.329423000
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",7064.5254325564765,14.155232500
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",5080.5982550766585,19.682721400
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",24397.87984375988,4.098716800
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",18111.787801714538,5.521266100
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",8183.288108664377,12.220026800
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",6510.026912711658,15.360919600
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",19665.529461539318,5.085039800
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",17344.942372643112,5.765369400
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",6726.628686820619,14.866288100
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",4860.171977379826,20.575403600
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",25521.963065686974,3.918193900
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",18941.63357231803,5.279375700
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",8688.331763322823,11.509689400
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",5985.94288707736,16.705805900
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",20468.05153093964,4.885662900
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",18291.182492206903,5.467115100
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",7238.961806629435,13.814135600
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",4614.21198794515,21.672172900
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",24570.65181590262,4.069896100
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",21302.340302798708,4.694319900
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",7355.654980472796,13.594982400
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",5719.219897719645,17.484902100
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",19731.81347856106,5.067957900
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",17379.296009904807,5.753973000
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",6750.038689534259,14.814729900
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",4428.633710345283,22.580327600
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",21688.899885643106,4.610653400
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",18737.054334946806,5.337018200
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",8678.556022274799,11.522654200
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",5950.293568146199,16.805893500
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",20415.146912092663,4.898323800
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",18326.31014149781,5.456635800
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",7107.505527258286,14.069633800
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",5097.649139575958,19.616885600
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",24271.725658044103,4.120020200
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",17817.10368904023,5.612584500
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",8233.974986419087,12.144802500
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",6587.39001883012,15.180519100
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='object' workers=1",19623.848116910252,5.095840500
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='object' workers=1",15355.714984048329,6.512233400
"old","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='object' workers=1",7522.91638311541,13.292717200
"old","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='object' workers=1",4382.120466463577,22.820002500
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=1 payload='string' workers=1",25782.668348899835,3.878574500
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=1 payload='string' workers=1",18748.78730500113,5.333678300
"new","cluster\echo.js","n=100000 serialization='json' sendsPerBroadcast=10 payload='string' workers=1",8576.41325632526,11.659885900
"new","cluster\echo.js","n=100000 serialization='advanced' sendsPerBroadcast=10 payload='string' workers=1",7006.871730195136,14.271704100
