"binary","filename","configuration","rate","time"
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",517.2101041503918,0.037762700
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1748.752649710015,0.044674700
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3761.1812395890506,0.083085600
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-128-gcm' n=2500",5736.563247904433,0.217900500
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-128-gcm' n=2500",6302.574500842402,0.793326600
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-128-gcm' n=2500",7241.665006514964,2.761795800
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-192-gcm' n=2500",514.7605317533946,0.037942400
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-192-gcm' n=2500",1734.426789983949,0.045043700
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-192-gcm' n=2500",3711.2912324455924,0.084202500
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-192-gcm' n=2500",5622.9383496540995,0.222303700
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-192-gcm' n=2500",6349.954635924081,0.787407200
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-192-gcm' n=2500",7148.622762422993,2.797741700
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-256-gcm' n=2500",521.6721822023146,0.037439700
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-256-gcm' n=2500",1775.092134382143,0.044011800
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-256-gcm' n=2500",3669.8475926974143,0.085153400
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-256-gcm' n=2500",5566.388985496663,0.224562100
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-256-gcm' n=2500",6296.532159726902,0.794087900
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-256-gcm' n=2500",7033.60342722174,2.843492700
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",537.3877418502785,0.036344800
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1816.6576754222783,0.043004800
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3887.4251437414323,0.080387400
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-128-gcm' n=2500",5782.90600742155,0.216154300
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-128-gcm' n=2500",6358.706862850578,0.786323400
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-128-gcm' n=2500",7281.553044584804,2.746666800
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-192-gcm' n=2500",538.0568931889056,0.036299600
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-192-gcm' n=2500",1814.4299728735461,0.043057600
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-192-gcm' n=2500",3791.803879409716,0.082414600
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-192-gcm' n=2500",5680.0289726917845,0.220069300
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-192-gcm' n=2500",6361.578103957093,0.785968500
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-192-gcm' n=2500",7180.8711358924575,2.785177400
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-256-gcm' n=2500",528.6188314834211,0.036947700
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-256-gcm' n=2500",1838.1531178606133,0.042501900
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-256-gcm' n=2500",3767.279758797653,0.082951100
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-256-gcm' n=2500",5336.703283566797,0.234227000
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-256-gcm' n=2500",6251.2439975555135,0.799840800
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-256-gcm' n=2500",7062.9856221980035,2.831663700
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",519.5655932857162,0.037591500
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1797.2288743653626,0.043469700
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3789.8724904980313,0.082456600
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-128-gcm' n=2500",5869.004752954809,0.212983300
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-128-gcm' n=2500",6650.048638455742,0.751874200
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-128-gcm' n=2500",7223.825128819764,2.768616300
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-192-gcm' n=2500",513.9207565439791,0.038004400
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-192-gcm' n=2500",1807.3236803934587,0.043226900
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-192-gcm' n=2500",3750.9062189424963,0.083313200
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-192-gcm' n=2500",5376.841299302946,0.232478500
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-192-gcm' n=2500",6443.887721184835,0.775929100
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-192-gcm' n=2500",7154.743215550519,2.795348400
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-256-gcm' n=2500",530.55162428592,0.036813100
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-256-gcm' n=2500",1780.7769544098305,0.043871300
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-256-gcm' n=2500",3727.528964391065,0.083835700
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-256-gcm' n=2500",5613.985921021548,0.222658200
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-256-gcm' n=2500",6394.381947176266,0.781936400
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-256-gcm' n=2500",6958.36455609496,2.874238600
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",530.675596734095,0.036804500
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1843.701326284986,0.042374000
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3830.9432333896434,0.081572600
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-128-gcm' n=2500",5551.92089800766,0.225147300
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-128-gcm' n=2500",6569.301731838738,0.761115900
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-128-gcm' n=2500",7369.50468011449,2.713886600
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-192-gcm' n=2500",535.2420493005028,0.036490500
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-192-gcm' n=2500",1847.3809163482276,0.042289600
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-192-gcm' n=2500",3879.4623127305954,0.080552400
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-192-gcm' n=2500",5774.968422472666,0.216451400
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-192-gcm' n=2500",6363.760977646781,0.785698900
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-192-gcm' n=2500",7086.6310528023105,2.822215500
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-256-gcm' n=2500",543.4827977694422,0.035937200
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-256-gcm' n=2500",1789.366638647571,0.043660700
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-256-gcm' n=2500",3798.0806627255756,0.082278400
"new","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-256-gcm' n=2500",5679.9360575518385,0.220072900
"new","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-256-gcm' n=2500",6490.981754499386,0.770299500
"new","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-256-gcm' n=2500",7005.570724756766,2.854870900
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",515.5322866735646,0.037885600
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1819.7212361759416,0.042932400
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3588.44806797956,0.087085000
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-128-gcm' n=2500",5809.206151066314,0.215175700
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-128-gcm' n=2500",6423.057233936094,0.778445500
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-128-gcm' n=2500",7213.702919226869,2.772501200
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-192-gcm' n=2500",528.3114051697088,0.036969200
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-192-gcm' n=2500",1765.0181867473964,0.044263000
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-192-gcm' n=2500",3694.5696328839163,0.084583600
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-192-gcm' n=2500",5676.407533364788,0.220209700
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-192-gcm' n=2500",6512.764823671451,0.767723100
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-192-gcm' n=2500",7038.03838046432,2.841700900
"old","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-256-gcm' n=2500",506.1928852443722,0.038584600
"old","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-256-gcm' n=2500",1761.428713148093,0.044353200
"old","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-256-gcm' n=2500",3697.034800632223,0.084527200
"old","crypto\aes-gcm-throughput.js","len=65536 cipher='aes-256-gcm' n=2500",5308.678415125912,0.235463500
"old","crypto\aes-gcm-throughput.js","len=262144 cipher='aes-256-gcm' n=2500",6243.819399272145,0.800791900
"old","crypto\aes-gcm-throughput.js","len=1048576 cipher='aes-256-gcm' n=2500",6917.584759869015,2.891182500
"new","crypto\aes-gcm-throughput.js","len=1024 cipher='aes-128-gcm' n=2500",539.7370849983143,0.036186600
"new","crypto\aes-gcm-throughput.js","len=4096 cipher='aes-128-gcm' n=2500",1831.1347996474844,0.042664800
"new","crypto\aes-gcm-throughput.js","len=16384 cipher='aes-128-gcm' n=2500",3808.9225076239395,0.082044200
