"binary","filename","configuration","rate","time"
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",42375,5.054093100
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",39553,5.056014700
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41370,5.054087100
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",38946,5.054706700
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",41693,5.054738300
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",38928,5.055250200
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",44825,5.053095900
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",41662,5.053449800
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",43518,5.052897900
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41097,5.053182300
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",43459,5.052497600
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",40545,5.053061600
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",42259,5.054860200
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",39912,5.054711400
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41429,5.053954800
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",39062,5.054044200
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",41189,5.054158200
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",39304,5.054044500
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",43925,5.052198100
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",40624,5.052381600
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41055,5.053083800
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",44271,5.053058700
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",40933,5.052821400
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",43392,5.052983700
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",39705,5.054611700
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",42085,5.054854200
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",38808,5.054398300
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41555,5.054443300
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",38933,5.054645000
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",41492,5.054126300
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",41510,5.053329600
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",44566,5.053601200
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",41153,5.053208300
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",43685,5.053256700
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",40769,5.053103900
"new","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='patch' benchmarker='test-double-http'",43296,5.052641400
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",39770,5.054656300
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=500 chunks=4 len=1024 type='buffer' apm='none' benchmarker='test-double-http'",42773,5.054222900
"old","diagnostics_channel\http.js","duration=5 chunkedEnc=1 connections=50 chunks=4 len=1024 type='buffer' apm='diagnostics_channel' benchmarker='test-double-http'",39216,5.054229100
