"binary","filename","configuration","rate","time"
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11759172154.280338,0.000425200
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11809163911.195087,0.000423400
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1588966218.578193,0.003146700
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1546407694.9246898,0.003233300
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11734334663.224596,0.000426100
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",10315659170.621002,0.000484700
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1506160195.1983612,0.003319700
"new","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1508750754.3753772,0.003314000
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11660447761.194029,0.000428800
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11941724385.001194,0.000418700
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1582428711.586543,0.003159700
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1591089896.5791569,0.003142500
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11964584828.906437,0.000417900
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11101243339.253996,0.000450400
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1394583437.9270911,0.003585300
"new","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1499745043.3426318,0.003333900
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",12019230769.23077,0.000416000
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11241007194.244604,0.000444800
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1568873548.7919674,0.003187000
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1592813226.7210345,0.003139100
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11814744801.512287,0.000423200
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11956001912.960306,0.000418200
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1445797067.9235463,0.003458300
"new","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1501726986.0339391,0.003329500
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11684973124.561813,0.000427900
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",7860399308.284861,0.000636100
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1583731905.8629756,0.003157100
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1540120129.370091,0.003246500
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11558021266.75913,0.000432600
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11828720132.481667,0.000422700
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1496826727.3380435,0.003340400
"new","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1482052346.0888638,0.003373700
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11868027533.82388,0.000421300
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11655011655.011654,0.000429000
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1546359868.868683,0.003233400
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1574158612.2217674,0.003176300
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11163206072.784103,0.000447900
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11668611435.239206,0.000428500
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1507204437.2098632,0.003317400
"new","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1509980974.2397246,0.003311300
"old","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",10755001075.500107,0.000464900
"old","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11967448539.971277,0.000417800
"old","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1597393054.534999,0.003130100
"old","dns\lookup-promises.js","n=5000000 all='false' name='::1'",1526298116.548124,0.003275900
"new","dns\lookup-promises.js","n=5000000 all='true' name='127.0.0.1'",11175681716.584713,0.000447400
"new","dns\lookup-promises.js","n=5000000 all='false' name='127.0.0.1'",11717834544.176235,0.000426700
"new","dns\lookup-promises.js","n=5000000 all='true' name='::1'",1489203276.2472079,0.003357500
