"binary","filename","configuration","rate","time"
"old","domain\domain-fn-args.js","n=10000 args=0",11275228.323373549,0.000886900
"old","domain\domain-fn-args.js","n=10000 args=1",9330098.89904833,0.001071800
"old","domain\domain-fn-args.js","n=10000 args=2",5109078.833086395,0.001957300
"old","domain\domain-fn-args.js","n=10000 args=3",5250997.689561016,0.001904400
"new","domain\domain-fn-args.js","n=10000 args=0",10637166.258908626,0.000940100
"new","domain\domain-fn-args.js","n=10000 args=1",11704119.850187266,0.000854400
"new","domain\domain-fn-args.js","n=10000 args=2",5173038.125290983,0.001933100
"new","domain\domain-fn-args.js","n=10000 args=3",5437737.9010331705,0.001839000
"old","domain\domain-fn-args.js","n=10000 args=0",11225864.39155815,0.000890800
"old","domain\domain-fn-args.js","n=10000 args=1",10869565.217391305,0.000920000
"old","domain\domain-fn-args.js","n=10000 args=2",5306165.764618487,0.001884600
"old","domain\domain-fn-args.js","n=10000 args=3",4941688.08064835,0.002023600
"new","domain\domain-fn-args.js","n=10000 args=0",11531365.313653136,0.000867200
"new","domain\domain-fn-args.js","n=10000 args=1",11440338.634023566,0.000874100
"new","domain\domain-fn-args.js","n=10000 args=2",5101260.011222772,0.001960300
"new","domain\domain-fn-args.js","n=10000 args=3",5417118.0931744315,0.001846000
"old","domain\domain-fn-args.js","n=10000 args=0",9953219.866626853,0.001004700
"old","domain\domain-fn-args.js","n=10000 args=1",11195700.850873264,0.000893200
"old","domain\domain-fn-args.js","n=10000 args=2",5393161.471254449,0.001854200
"old","domain\domain-fn-args.js","n=10000 args=3",5186991.026505524,0.001927900
"new","domain\domain-fn-args.js","n=10000 args=0",11035091.591260208,0.000906200
"new","domain\domain-fn-args.js","n=10000 args=1",11617100.371747212,0.000860800
"new","domain\domain-fn-args.js","n=10000 args=2",5485463.521667581,0.001823000
"new","domain\domain-fn-args.js","n=10000 args=3",5088540.606554041,0.001965200
"old","domain\domain-fn-args.js","n=10000 args=0",11222085.06340478,0.000891100
"old","domain\domain-fn-args.js","n=10000 args=1",11059500.110595,0.000904200
"old","domain\domain-fn-args.js","n=10000 args=2",5018065.034122842,0.001992800
"old","domain\domain-fn-args.js","n=10000 args=3",5242738.806752647,0.001907400
"new","domain\domain-fn-args.js","n=10000 args=0",11164452.383610584,0.000895700
"new","domain\domain-fn-args.js","n=10000 args=1",11088933.244621867,0.000901800
"new","domain\domain-fn-args.js","n=10000 args=2",5231493.591420351,0.001911500
"new","domain\domain-fn-args.js","n=10000 args=3",5649717.514124294,0.001770000
"old","domain\domain-fn-args.js","n=10000 args=0",11158223.61080116,0.000896200
"old","domain\domain-fn-args.js","n=10000 args=1",10634903.754121024,0.000940300
"old","domain\domain-fn-args.js","n=10000 args=2",5271203.415739813,0.001897100
"old","domain\domain-fn-args.js","n=10000 args=3",5097359.567743909,0.001961800
"new","domain\domain-fn-args.js","n=10000 args=0",10921799.9126256,0.000915600
"new","domain\domain-fn-args.js","n=10000 args=1",10489877.268435959,0.000953300
"new","domain\domain-fn-args.js","n=10000 args=2",5217300.568685763,0.001916700
"new","domain\domain-fn-args.js","n=10000 args=3",5250170.630545492,0.001904700
"old","domain\domain-fn-args.js","n=10000 args=0",10106114.199090451,0.000989500
"old","domain\domain-fn-args.js","n=10000 args=1",10864841.373315949,0.000920400
"old","domain\domain-fn-args.js","n=10000 args=2",5190760.446405399,0.001926500
