"binary","filename","configuration","rate","time"
"old","error\determine-specific-type.js","v='() => 1n' n=1000000",22027887.305328544,0.045397000
"old","error\determine-specific-type.js","v='() => true' n=1000000",162195477.99007365,0.006165400
"old","error\determine-specific-type.js","v='() => false' n=1000000",166775070.46246728,0.005996100
"old","error\determine-specific-type.js","v='() => 2' n=1000000",58788602.065831475,0.017010100
"old","error\determine-specific-type.js","v='() => +0' n=1000000",161943319.83805668,0.006175000
"old","error\determine-specific-type.js","v='() => -0' n=1000000",154204382.48855034,0.006484900
"old","error\determine-specific-type.js","v='() => NaN' n=1000000",154026246.07233074,0.006492400
"old","error\determine-specific-type.js","v='() => Infinity' n=1000000",147041524.5265263,0.006800800
"old","error\determine-specific-type.js","v='() => """"' n=1000000",53469645.2823732,0.018702200
"old","error\determine-specific-type.js","v=`() => ""'""` n=1000000",7607686.806749539,0.131446000
"old","error\determine-specific-type.js","v='() => Symbol(""foo"")' n=1000000",12797411.851427168,0.078140800
"old","error\determine-specific-type.js","v='() => function foo() {}' n=1000000",27850498.52392358,0.035906000
"old","error\determine-specific-type.js","v='() => null' n=1000000",224245414.18128002,0.004459400
"old","error\determine-specific-type.js","v='() => undefined' n=1000000",229684413.61569205,0.004353800
"old","error\determine-specific-type.js","v='() => new Array()' n=1000000",34461725.0850343,0.029017700
"old","error\determine-specific-type.js","v='() => new BigInt64Array()' n=1000000",33767470.445021495,0.029614300
"old","error\determine-specific-type.js","v='() => new BigUint64Array()' n=1000000",34123287.43751173,0.029305500
"old","error\determine-specific-type.js","v='() => new Int8Array()' n=1000000",34110600.2101213,0.029316400
"old","error\determine-specific-type.js","v='() => new Int16Array()' n=1000000",34645232.81596452,0.028864000
"old","error\determine-specific-type.js","v='() => new Int32Array()' n=1000000",34598604.29230285,0.028902900
"old","error\determine-specific-type.js","v='() => new Float32Array()' n=1000000",34587953.707482755,0.028911800
"old","error\determine-specific-type.js","v='() => new Float64Array()' n=1000000",35267148.65103156,0.028355000
