"binary","filename","configuration","rate","time"
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1016776817.4885612,0.098350000
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1014683484.7071979,0.098552900
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1007456183.2119517,0.099259900
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",983619779.8068761,0.101665300
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1008534216.5403645,0.099153800
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1012756683.1813523,0.098740400
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1014207011.821597,0.098599200
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1012150871.2088624,0.098799500
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",996603575.0163443,0.100340800
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1010536867.9218209,0.098957300
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1013359113.1891729,0.098681700
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1015641900.9160074,0.098459900
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1001114240.1492862,0.099888700
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",987802613.3305938,0.101234800
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1014103132.2603446,0.098609300
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1014849274.5857385,0.098536800
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1015616113.3590081,0.098462400
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1010962881.4868432,0.098915600
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1002578632.2421267,0.099742800
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1010365338.0025684,0.098974100
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1011340157.1824872,0.098878700
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1014081536.2118375,0.098611400
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1000498248.1275675,0.099950200
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1001439067.9406308,0.099856300
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1012890038.631626,0.098727400
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1013303663.8020573,0.098687100
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1012749503.499556,0.098741100
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1009249774.1803629,0.099083500
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1002278178.2992742,0.099772700
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1013064479.527993,0.098710400
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1012471625.4826958,0.098768200
"new","es\defaultparams-bench.js","n=100000000 method='withdefaults'",1014245072.0367562,0.098595500
"old","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",995172418.5973841,0.100485100
"old","es\defaultparams-bench.js","n=100000000 method='withdefaults'",982052017.331254,0.101827600
"new","es\defaultparams-bench.js","n=100000000 method='withoutdefaults'",1011578527.8295369,0.098855400
