"binary","filename","configuration","rate","time"
"old","esm\cjs-parse.js","n=100",262.87979558467094,0.380402000
"new","esm\cjs-parse.js","n=100",257.3417013992183,0.388588400
"old","esm\cjs-parse.js","n=100",260.78740584596693,0.383454100
"new","esm\cjs-parse.js","n=100",264.4187546934329,0.378188000
"old","esm\cjs-parse.js","n=100",257.52388212101823,0.388313500
"new","esm\cjs-parse.js","n=100",263.51377702729053,0.379486800
"old","esm\cjs-parse.js","n=100",261.2986858243895,0.382703800
"new","esm\cjs-parse.js","n=100",271.4689155875551,0.368366300
"old","esm\cjs-parse.js","n=100",257.5569129949568,0.388263700
"new","esm\cjs-parse.js","n=100",263.2784485527584,0.379826000
"old","esm\cjs-parse.js","n=100",258.89116396690645,0.386262700
"new","esm\cjs-parse.js","n=100",265.03820128114165,0.377304100
"old","esm\cjs-parse.js","n=100",258.3253747590793,0.387108700
"new","esm\cjs-parse.js","n=100",266.79942606107466,0.374813400
"old","esm\cjs-parse.js","n=100",261.4498702555019,0.382482500
"new","esm\cjs-parse.js","n=100",263.2575169235095,0.379856200
"old","esm\cjs-parse.js","n=100",257.6840746861215,0.388072100
"new","esm\cjs-parse.js","n=100",273.0087695876967,0.366288600
"old","esm\cjs-parse.js","n=100",260.9689149486648,0.383187400
"new","esm\cjs-parse.js","n=100",266.0301098198896,0.375897300
"old","esm\detect-esm-syntax.js","n=10000 type='with-module-syntax-detection'",16598.314806294347,0.602470800
"old","esm\detect-esm-syntax.js","n=10000 type='without-module-syntax-detection'",17653.600001553517,0.566456700
"new","esm\detect-esm-syntax.js","n=10000 type='with-module-syntax-detection'",17600.263863155837,0.568173300
"new","esm\detect-esm-syntax.js","n=10000 type='without-module-syntax-detection'",18293.605415346246,0.546639100
"old","esm\detect-esm-syntax.js","n=10000 type='with-module-syntax-detection'",16619.094508635695,0.601717500
"old","esm\detect-esm-syntax.js","n=10000 type='without-module-syntax-detection'",17548.551577649883,0.569847600
"new","esm\detect-esm-syntax.js","n=10000 type='with-module-syntax-detection'",17699.525422624843,0.564986900
"new","esm\detect-esm-syntax.js","n=10000 type='without-module-syntax-detection'",18373.385783225283,0.544265500
