"binary","filename","configuration","rate","time"
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1121588.8697109653,0.891592300
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",773900.1852949214,1.292156300
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",851016.2453044115,1.175065700
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",650338.9957049012,1.537659600
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1145361.3609366948,0.873086900
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",766924.9209645523,1.303908600
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",839170.6744758772,1.191652700
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",649711.407938265,1.539144900
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1143642.531196567,0.874399100
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",752744.0531714312,1.328472800
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",859573.8301715916,1.163367200
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",640050.7534645468,1.562376100
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1121199.414285426,0.891902000
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",774456.084003083,1.291228800
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",798233.8596914011,1.252765700
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",667058.051860962,1.499119900
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1131793.121346218,0.883553700
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",767731.036179709,1.302539500
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",847166.2162989867,1.180405900
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",625700.2759275647,1.598209300
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1158860.677713313,0.862916500
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",770923.8365795651,1.297145000
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",847119.7125011234,1.180470700
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",669974.2850469913,1.492594600
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1144061.8726965743,0.874078600
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",765728.85556539,1.305945300
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",865112.3711761168,1.155919200
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",642051.8951285275,1.557506500
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1171455.929945061,0.853638600
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",774817.5614569793,1.290626400
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",849884.9850649711,1.176629800
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",665435.1237020605,1.502776100
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1159136.3182561768,0.862711300
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",779265.126490705,1.283260300
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",873322.8598633826,1.145051900
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",642160.4950440943,1.557243100
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1152550.0226879474,0.867641300
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",787594.2563271187,1.269689300
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",855168.931781122,1.169359600
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",658595.7947341315,1.518382000
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1125548.1419451272,0.888456000
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",774861.4489614648,1.290553300
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",860130.6314795252,1.162614100
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",641286.6364650588,1.559365100
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1178963.3328255932,0.848202800
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",790537.6438610522,1.264961900
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",859672.9236814186,1.163233100
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",639967.5613242516,1.562579200
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1125551.055727496,0.888453700
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",767802.1846736241,1.302418800
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",853945.2955812089,1.171035200
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",630578.84931341,1.585844500
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1157549.6895567486,0.863893800
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",768811.8850321783,1.300708300
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",847265.6281110535,1.180267400
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",654017.6171417495,1.529010800
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1126600.3639820456,0.887626200
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",779378.0313908531,1.283074400
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",850846.6647533962,1.175299900
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",640227.3677864863,1.561945100
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1176986.9393290305,0.849627100
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",800029.1210600066,1.249954500
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",862355.9962501312,1.159613900
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",660364.8053294081,1.514314500
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1138192.6343229502,0.878585900
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",780615.8106394657,1.281039900
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",858490.1716181947,1.164835700
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",649375.0219975789,1.539942200
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1182065.792363524,0.845976600
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",769561.6215309798,1.299441100
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",846836.4223667791,1.180865600
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",641150.9531574473,1.559695100
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1161237.8795796318,0.861150000
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",788032.248801324,1.268983600
"old","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",859887.8895367379,1.162942300
"old","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",621637.7169981861,1.608654000
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=0",1141994.0563777343,0.875661300
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=0",774061.9278956669,1.291886300
"new","events\ee-add-remove.js","n=1000000 removeListener=0 newListener=1",849766.1103757803,1.176794400
"new","events\ee-add-remove.js","n=1000000 removeListener=1 newListener=1",656061.1323011568,1.524248200
"old","events\ee-emit.js","listeners=1 argc=0 n=2000000",103036485.2194162,0.019410600
"old","events\ee-emit.js","listeners=5 argc=0 n=2000000",26067360.666698817,0.076724300
"old","events\ee-emit.js","listeners=10 argc=0 n=2000000",13269797.542698892,0.150718200
"old","events\ee-emit.js","listeners=1 argc=2 n=2000000",99760077.01477946,0.020048100
"old","events\ee-emit.js","listeners=5 argc=2 n=2000000",23713624.78168644,0.084339700
"old","events\ee-emit.js","listeners=10 argc=2 n=2000000",11697500.30267282,0.170976700
"old","events\ee-emit.js","listeners=1 argc=4 n=2000000",98621274.5813527,0.020279600
"old","events\ee-emit.js","listeners=5 argc=4 n=2000000",22585982.010265328,0.088550500
"old","events\ee-emit.js","listeners=10 argc=4 n=2000000",11666760.000746673,0.171427200
"old","events\ee-emit.js","listeners=1 argc=10 n=2000000",98460084.28183214,0.020312800
"old","events\ee-emit.js","listeners=5 argc=10 n=2000000",21377479.253156386,0.093556400
"old","events\ee-emit.js","listeners=10 argc=10 n=2000000",10685284.70673969,0.187173300
"new","events\ee-emit.js","listeners=1 argc=0 n=2000000",99143892.488363,0.020172700
"new","events\ee-emit.js","listeners=5 argc=0 n=2000000",26110615.00942593,0.076597200
"new","events\ee-emit.js","listeners=10 argc=0 n=2000000",13239763.51134416,0.151060100
"new","events\ee-emit.js","listeners=1 argc=2 n=2000000",99078078.47974597,0.020186100
"new","events\ee-emit.js","listeners=5 argc=2 n=2000000",23853539.26888902,0.083845000
"new","events\ee-emit.js","listeners=10 argc=2 n=2000000",11888606.138206236,0.168228300
"new","events\ee-emit.js","listeners=1 argc=4 n=2000000",98536729.56594571,0.020297000
"new","events\ee-emit.js","listeners=5 argc=4 n=2000000",22397419.817237053,0.089296000
"new","events\ee-emit.js","listeners=10 argc=4 n=2000000",11720382.15478054,0.170642900
"new","events\ee-emit.js","listeners=1 argc=10 n=2000000",100263190.87604964,0.019947500
"new","events\ee-emit.js","listeners=5 argc=10 n=2000000",21471114.90911277,0.093148400
"new","events\ee-emit.js","listeners=10 argc=10 n=2000000",10881499.38356306,0.183798200
"old","events\ee-emit.js","listeners=1 argc=0 n=2000000",100884250.45524018,0.019824700
"old","events\ee-emit.js","listeners=5 argc=0 n=2000000",25865725.843998633,0.077322400
"old","events\ee-emit.js","listeners=10 argc=0 n=2000000",13242945.813838612,0.151023800
"old","events\ee-emit.js","listeners=1 argc=2 n=2000000",101535212.41166437,0.019697600
"old","events\ee-emit.js","listeners=5 argc=2 n=2000000",23816016.509262644,0.083977100
"old","events\ee-emit.js","listeners=10 argc=2 n=2000000",11305419.874815086,0.176906300
"old","events\ee-emit.js","listeners=1 argc=4 n=2000000",96382290.7179035,0.020750700
"old","events\ee-emit.js","listeners=5 argc=4 n=2000000",22554423.824688975,0.088674400
"old","events\ee-emit.js","listeners=10 argc=4 n=2000000",11534244.884706572,0.173396700
