"binary","filename","configuration","rate","time"
"old","fs\bench-accessSync.js","n=100000 type='existing'",210743.67015580912,0.474510100
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",65037.31711181242,1.537578800
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",213000.4845761024,0.469482500
"new","fs\bench-accessSync.js","n=100000 type='existing'",208001.5275632184,0.480765700
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",66848.32922962582,1.495923700
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",216775.708460951,0.461306300
"old","fs\bench-accessSync.js","n=100000 type='existing'",203530.27329638036,0.491327400
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",58472.450500293206,1.710207100
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",211835.23455456345,0.472065000
"new","fs\bench-accessSync.js","n=100000 type='existing'",217887.47201507783,0.458952500
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",68880.47598062034,1.451790200
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",218676.02600057947,0.457297500
"old","fs\bench-accessSync.js","n=100000 type='existing'",203499.66514130103,0.491401300
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",64231.772901629876,1.556861900
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",208598.47068117207,0.479389900
"new","fs\bench-accessSync.js","n=100000 type='existing'",213298.9324815027,0.468825600
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",69662.08524674764,1.435501100
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",218150.84869406177,0.458398400
"old","fs\bench-accessSync.js","n=100000 type='existing'",203405.6616745493,0.491628400
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",65509.68269140505,1.526491900
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",212301.5590789594,0.471028100
"new","fs\bench-accessSync.js","n=100000 type='existing'",214208.4462390352,0.466835000
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",68478.09488461784,1.460321000
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",217785.9704020155,0.459166400
"old","fs\bench-accessSync.js","n=100000 type='existing'",205766.86326318674,0.485986900
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",65168.69045862596,1.534479200
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",213649.05536138418,0.468057300
"new","fs\bench-accessSync.js","n=100000 type='existing'",210003.60576191093,0.476182300
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",67803.50084391628,1.474850100
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",217510.79342934693,0.459747300
"old","fs\bench-accessSync.js","n=100000 type='existing'",204653.86993305158,0.488629900
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",64753.52799884273,1.544317400
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",211693.3029765137,0.472381500
"new","fs\bench-accessSync.js","n=100000 type='existing'",219038.61760347657,0.456540500
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",68405.26397659774,1.461875800
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",215007.80263315755,0.465099400
"old","fs\bench-accessSync.js","n=100000 type='existing'",206550.799929938,0.484142400
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",64871.21312671593,1.541515800
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",213945.43407282146,0.467408900
"new","fs\bench-accessSync.js","n=100000 type='existing'",213649.37488329405,0.468056600
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",68665.28892053291,1.456339900
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",217693.28279075824,0.459361900
"old","fs\bench-accessSync.js","n=100000 type='existing'",205424.26890529817,0.486797400
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",64364.97929796988,1.553639900
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",209730.48793378557,0.476802400
"new","fs\bench-accessSync.js","n=100000 type='existing'",211593.50433332918,0.472604300
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",62030.71053635661,1.612104700
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",217550.87318393972,0.459662600
"old","fs\bench-accessSync.js","n=100000 type='existing'",212424.58661644385,0.470755300
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",64703.48109257522,1.545511900
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",213969.05536727468,0.467357300
"new","fs\bench-accessSync.js","n=100000 type='existing'",217091.5292622014,0.460635200
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",68607.91857502451,1.457557700
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",216738.3095148768,0.461385900
"old","fs\bench-accessSync.js","n=100000 type='existing'",211009.9060710504,0.473911400
"old","fs\bench-accessSync.js","n=100000 type='non-existing'",65393.913644590495,1.529194300
"old","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",213943.9235860767,0.467412200
"new","fs\bench-accessSync.js","n=100000 type='existing'",216612.67595718434,0.461653500
"new","fs\bench-accessSync.js","n=100000 type='non-existing'",67278.82322341185,1.486351800
"new","fs\bench-accessSync.js","n=100000 type='non-flat-existing'",216603.99591051653,0.461672000
"old","fs\bench-chmodSync.js","n=1000 type='existing'",36460.02340733502,0.027427300
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",44936.54959197613,0.022253600
"new","fs\bench-chmodSync.js","n=1000 type='existing'",31511.64512845722,0.031734300
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",49973.26430359758,0.020010700
"old","fs\bench-chmodSync.js","n=1000 type='existing'",31569.94162717793,0.031675700
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",47062.145563216225,0.021248500
"new","fs\bench-chmodSync.js","n=1000 type='existing'",30992.27982309607,0.032266100
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",49437.15795666338,0.020227700
"old","fs\bench-chmodSync.js","n=1000 type='existing'",31586.19556908849,0.031659400
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",46453.938597183966,0.021526700
"new","fs\bench-chmodSync.js","n=1000 type='existing'",34767.008889924175,0.028762900
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",50037.0274002762,0.019985200
"old","fs\bench-chmodSync.js","n=1000 type='existing'",33912.44484988657,0.029487700
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",47902.58530252878,0.020875700
"new","fs\bench-chmodSync.js","n=1000 type='existing'",32979.13739768223,0.030322200
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",46912.67674350963,0.021316200
"old","fs\bench-chmodSync.js","n=1000 type='existing'",35932.96346336275,0.027829600
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",46751.255271204034,0.021389800
"new","fs\bench-chmodSync.js","n=1000 type='existing'",36369.98457912654,0.027495200
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",35187.10744383258,0.028419500
"old","fs\bench-chmodSync.js","n=1000 type='existing'",31755.104633069768,0.031491000
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",46530.67301965456,0.021491200
"new","fs\bench-chmodSync.js","n=1000 type='existing'",37083.87259464731,0.026965900
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",49852.188261803756,0.020059300
"old","fs\bench-chmodSync.js","n=1000 type='existing'",35667.40854876448,0.028036800
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",48142.888091856636,0.020771500
"new","fs\bench-chmodSync.js","n=1000 type='existing'",37805.896963808416,0.026450900
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",51630.4909027075,0.019368400
"old","fs\bench-chmodSync.js","n=1000 type='existing'",34281.091235696214,0.029170600
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",47479.32275494023,0.021061800
"new","fs\bench-chmodSync.js","n=1000 type='existing'",35817.64520473366,0.027919200
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",51044.367764460876,0.019590800
"old","fs\bench-chmodSync.js","n=1000 type='existing'",37413.80793995832,0.026728100
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",48105.13859090428,0.020787800
"new","fs\bench-chmodSync.js","n=1000 type='existing'",35099.91189922113,0.028490100
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",51406.48132916598,0.019452800
"old","fs\bench-chmodSync.js","n=1000 type='existing'",34527.88299191012,0.028962100
"old","fs\bench-chmodSync.js","n=1000 type='non-existing'",46178.49836759008,0.021655100
"new","fs\bench-chmodSync.js","n=1000 type='existing'",37251.578535640445,0.026844500
"new","fs\bench-chmodSync.js","n=1000 type='non-existing'",50687.063140874554,0.019728900
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
Skipping: Windows does not have `getuid` or `getgid`
