"binary","filename","configuration","rate","time"
"old","http\bench-parser.js","n=100000 len=4",443430.0735162719,0.225514700
"old","http\bench-parser.js","n=100000 len=8",385490.89374136255,0.259409500
"old","http\bench-parser.js","n=100000 len=16",295955.3557264994,0.337888800
"old","http\bench-parser.js","n=100000 len=32",190640.06831014928,0.524548700
"new","http\bench-parser.js","n=100000 len=4",463803.39188696555,0.215608600
"new","http\bench-parser.js","n=100000 len=8",406404.6115544082,0.246060200
"new","http\bench-parser.js","n=100000 len=16",293131.4322196586,0.341143900
"new","http\bench-parser.js","n=100000 len=32",196349.4320887201,0.509296100
"old","http\bench-parser.js","n=100000 len=4",430168.95315804234,0.232466800
"old","http\bench-parser.js","n=100000 len=8",388037.57755901077,0.257707000
"old","http\bench-parser.js","n=100000 len=16",303517.21822827286,0.329470600
"old","http\bench-parser.js","n=100000 len=32",188493.632402357,0.530521900
"new","http\bench-parser.js","n=100000 len=4",470841.0492410278,0.212385900
"new","http\bench-parser.js","n=100000 len=8",396112.2376103024,0.252453700
"new","http\bench-parser.js","n=100000 len=16",316717.0880270806,0.315739200
"new","http\bench-parser.js","n=100000 len=32",200550.95357967407,0.498626400
"old","http\bench-parser.js","n=100000 len=4",441734.7453531713,0.226380200
"old","http\bench-parser.js","n=100000 len=8",383222.0775771781,0.260945300
"old","http\bench-parser.js","n=100000 len=16",294566.8615226456,0.339481500
"old","http\bench-parser.js","n=100000 len=32",188395.6919933903,0.530797700
"new","http\bench-parser.js","n=100000 len=4",464365.7344524548,0.215347500
"new","http\bench-parser.js","n=100000 len=8",401387.83859071124,0.249135600
"new","http\bench-parser.js","n=100000 len=16",311985.90572472295,0.320527300
"new","http\bench-parser.js","n=100000 len=32",196482.5690488868,0.508951000
"old","http\bench-parser.js","n=100000 len=4",444946.5418977237,0.224746100
"old","http\bench-parser.js","n=100000 len=8",378720.8853585369,0.264046700
"old","http\bench-parser.js","n=100000 len=16",300051.2487532871,0.333276400
"old","http\bench-parser.js","n=100000 len=32",190525.9086656899,0.524863000
"new","http\bench-parser.js","n=100000 len=4",467509.9299109113,0.213899200
"new","http\bench-parser.js","n=100000 len=8",408813.0277265172,0.244610600
"new","http\bench-parser.js","n=100000 len=16",310553.5088354026,0.322005700
"new","http\bench-parser.js","n=100000 len=32",201006.88368173857,0.497495400
"old","http\bench-parser.js","n=100000 len=4",436463.94371360977,0.229114000
"old","http\bench-parser.js","n=100000 len=8",384749.1589383385,0.259909600
"old","http\bench-parser.js","n=100000 len=16",292710.2274124299,0.341634800
"old","http\bench-parser.js","n=100000 len=32",183631.69505092382,0.544568300
"new","http\bench-parser.js","n=100000 len=4",467788.98600188235,0.213771600
"new","http\bench-parser.js","n=100000 len=8",393945.2195535497,0.253842400
"new","http\bench-parser.js","n=100000 len=16",316727.3199484368,0.315729000
"new","http\bench-parser.js","n=100000 len=32",197150.6603659944,0.507226300
"old","http\bench-parser.js","n=100000 len=4",438989.8492377161,0.227795700
"old","http\bench-parser.js","n=100000 len=8",386815.7712526255,0.258521000
"old","http\bench-parser.js","n=100000 len=16",298207.0302307377,0.335337500
"old","http\bench-parser.js","n=100000 len=32",187447.67866669214,0.533482200
"new","http\bench-parser.js","n=100000 len=4",464416.63001645426,0.215323900
"new","http\bench-parser.js","n=100000 len=8",402470.20110631007,0.248465600
"new","http\bench-parser.js","n=100000 len=16",313118.80103053665,0.319367600
"new","http\bench-parser.js","n=100000 len=32",199970.0444873358,0.500074900
"old","http\bench-parser.js","n=100000 len=4",448762.7386912912,0.222834900
"old","http\bench-parser.js","n=100000 len=8",383316.0904978625,0.260881300
"old","http\bench-parser.js","n=100000 len=16",296621.3053591758,0.337130200
"old","http\bench-parser.js","n=100000 len=32",192046.7303468018,0.520706600
"new","http\bench-parser.js","n=100000 len=4",466805.24558390566,0.214222100
"new","http\bench-parser.js","n=100000 len=8",405779.59999870154,0.246439200
"new","http\bench-parser.js","n=100000 len=16",313770.37781718734,0.318704400
"new","http\bench-parser.js","n=100000 len=32",198790.95342129172,0.503041000
"old","http\bench-parser.js","n=100000 len=4",442849.5954347521,0.225810300
"old","http\bench-parser.js","n=100000 len=8",390043.2870039917,0.256381800
"old","http\bench-parser.js","n=100000 len=16",308985.7696603783,0.323639500
"old","http\bench-parser.js","n=100000 len=32",185599.48447887192,0.538794600
"new","http\bench-parser.js","n=100000 len=4",468315.8565660927,0.213531100
"new","http\bench-parser.js","n=100000 len=8",403018.2845365511,0.248127700
"new","http\bench-parser.js","n=100000 len=16",308117.0351746407,0.324552000
"new","http\bench-parser.js","n=100000 len=32",197516.66250564897,0.506286400
"old","http\bench-parser.js","n=100000 len=4",442211.57081951975,0.226136100
"old","http\bench-parser.js","n=100000 len=8",395392.7258018663,0.252913100
"old","http\bench-parser.js","n=100000 len=16",299749.9485928838,0.333611400
"old","http\bench-parser.js","n=100000 len=32",188158.64935205688,0.531466400
"new","http\bench-parser.js","n=100000 len=4",461738.07445988193,0.216573000
"new","http\bench-parser.js","n=100000 len=8",405897.1992281459,0.246367800
"new","http\bench-parser.js","n=100000 len=16",314929.98004288715,0.317530900
"new","http\bench-parser.js","n=100000 len=32",199922.82978770195,0.500193000
"old","http\bench-parser.js","n=100000 len=4",447497.77146109816,0.223464800
"old","http\bench-parser.js","n=100000 len=8",384483.77286236634,0.260089000
"old","http\bench-parser.js","n=100000 len=16",301097.25862989906,0.332118600
"old","http\bench-parser.js","n=100000 len=32",190093.4328231669,0.526057100
"new","http\bench-parser.js","n=100000 len=4",468674.93877933617,0.213367500
"new","http\bench-parser.js","n=100000 len=8",410644.0582473958,0.243519900
"new","http\bench-parser.js","n=100000 len=16",315216.7745758758,0.317242000
"new","http\bench-parser.js","n=100000 len=32",201510.80712534153,0.496251300
"old","http\check_invalid_header_char.js","n=1000000 input=''",65095690.66527796,0.015362000
"old","http\check_invalid_header_char.js","n=1000000 input='1'",56033395.90395875,0.017846500
"old","http\check_invalid_header_char.js","n=1000000 input='\t\t\t\t\t\t\t\t\t\tFoo bar baz'",25987998.74218086,0.038479300
"old","http\check_invalid_header_char.js","n=1000000 input='keep-alive'",33217514.93127296,0.030104600
"old","http\check_invalid_header_char.js","n=1000000 input='close'",39805747.95000398,0.025122000
"old","http\check_invalid_header_char.js","n=1000000 input='gzip'",42227946.45496389,0.023681000
"old","http\check_invalid_header_char.js","n=1000000 input='20091'",45051538.960570894,0.022196800
"old","http\check_invalid_header_char.js","n=1000000 input='private'",37751804.536256835,0.026488800
"old","http\check_invalid_header_char.js","n=1000000 input='text/html; charset=utf-8'",23905144.387072098,0.041832000
"old","http\check_invalid_header_char.js","n=1000000 input='text/plain'",34836529.58492275,0.028705500
"old","http\check_invalid_header_char.js","n=1000000 input='Sat, 07 May 2016 16:54:48 GMT'",23423976.31367515,0.042691300
"old","http\check_invalid_header_char.js","n=1000000 input='SAMEORIGIN'",33405042.8252649,0.029935600
"old","http\check_invalid_header_char.js","n=1000000 input='en-US'",36296059.69975899,0.027551200
"old","http\check_invalid_header_char.js","n=1000000 input='中文呢'",33740468.31770025,0.029638000
"old","http\check_invalid_header_char.js","n=1000000 input='foo\nbar'",27558458.379838232,0.036286500
"old","http\check_invalid_header_char.js","n=1000000 input='\x7F'",49826851.69037594,0.020069500
"old","http\check_invalid_header_char.js","n=1000000 input='group_acmeair'",28693416.582499314,0.034851200
"old","http\check_invalid_header_char.js","n=1000000 input='LONG_AND_INVALID'",13151319.077303454,0.076038000
"new","http\check_invalid_header_char.js","n=1000000 input=''",62588406.12364966,0.015977400
"new","http\check_invalid_header_char.js","n=1000000 input='1'",54462671.28510119,0.018361200
"new","http\check_invalid_header_char.js","n=1000000 input='\t\t\t\t\t\t\t\t\t\tFoo bar baz'",21554929.504603054,0.046393100
"new","http\check_invalid_header_char.js","n=1000000 input='keep-alive'",34581135.990317285,0.028917500
"new","http\check_invalid_header_char.js","n=1000000 input='close'",38068119.09230377,0.026268700
"new","http\check_invalid_header_char.js","n=1000000 input='gzip'",38409537.85644051,0.026035200
"new","http\check_invalid_header_char.js","n=1000000 input='20091'",46335982.206982836,0.021581500
"new","http\check_invalid_header_char.js","n=1000000 input='private'",33692835.89230422,0.029679900
"new","http\check_invalid_header_char.js","n=1000000 input='text/html; charset=utf-8'",24932184.458273496,0.040108800
"new","http\check_invalid_header_char.js","n=1000000 input='text/plain'",34676949.53810303,0.028837600
