"binary","filename","configuration","rate","time"
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5699,5.248124000
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5520,5.230760100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5836,5.242279000
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5550,5.229149600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5793,5.239516500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5338,5.226698000
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5779,5.242400800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5528,5.233755400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5877,5.245458300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5296,5.220811400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5928,5.244478600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5455,5.225016900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5964,5.245216600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5436,5.223914900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5776,5.240621600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5348,5.232528300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5203,5.219568300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5925,5.245661500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5529,5.221200600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",6043,5.237943400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5586,5.221339700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5901,5.235530400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5526,5.222264900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",6002,5.235219600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5619,5.222075500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5993,5.235542500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5523,5.225421800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5928,5.231696700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5893,5.233017700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5555,5.222486200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5948,5.234974900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5583,5.223997100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",6016,5.233881100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5568,5.223721000
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5927,5.236760300
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5419,5.216416000
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5818,5.241120700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5238,5.221424400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5833,5.239788200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5468,5.228241900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5855,5.240936500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5341,5.224481100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5779,5.240788600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5367,5.225550600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5745,5.239603600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5454,5.230698500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5793,5.237155300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5411,5.230446300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5785,5.241708700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5446,5.227400200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5798,5.241119600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5421,5.226439800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5725,5.242041100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5371,5.226365200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5847,5.232193800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5621,5.222120700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",6034,5.237755600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5533,5.222254100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5969,5.233254900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5562,5.221348700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5939,5.236282600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5419,5.223619400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5546,5.221365800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5941,5.234625300
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5421,5.218050100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",6001,5.231667500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5501,5.221066000
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",6015,5.234150600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5533,5.225420900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5967,5.236157700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5483,5.219047600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5966,5.235289900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5405,5.226223300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5780,5.239130200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5346,5.223471800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5429,5.232312400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5826,5.243236800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5408,5.229142400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5746,5.242037800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5348,5.229446100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5831,5.240300200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5689,5.237710400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5853,5.241655700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5456,5.229246700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5717,5.236812900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5746,5.240616500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5271,5.226973700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5498,5.236424600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5466,5.235630500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5205,5.233147700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5342,5.218433100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5118,5.214293100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5458,5.220858500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5065,5.211137200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5425,5.222786900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5244,5.212548800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5240,5.215090600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5568,5.222879800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5265,5.217675200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5467,5.221138700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5262,5.218416700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5476,5.226186800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5514,5.227872000
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5248,5.216237500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5432,5.219971100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5048,5.214178200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5524,5.230450300
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5229,5.215678000
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5374,5.237160200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5146,5.225804900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5356,5.229307400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5149,5.225764100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5559,5.236664500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5231,5.224741200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5778,5.242718700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5421,5.232901900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5819,5.242296700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5397,5.232829700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5873,5.242262100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5414,5.228674800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5673,5.236003500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5451,5.229766600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5891,5.246519600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5453,5.227462600
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5726,5.241196800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5363,5.227448100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5917,5.229556200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5555,5.223845800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5793,5.228471600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5611,5.224498500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5461,5.218402100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5413,5.222435300
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",6051,5.236041400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5437,5.218257900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5877,5.231341100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5534,5.223505800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5765,5.228791700
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5521,5.228184300
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5968,5.234411900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5284,5.214408100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5817,5.234645900
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5523,5.225420000
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5915,5.235364200
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5553,5.226280800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5797,5.240426400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5387,5.229541900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5729,5.242509500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5321,5.228044900
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5958,5.247035200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5399,5.228473300
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5783,5.241264700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5660,5.234071800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=1000",5720,5.244529500
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=1000",5419,5.231583400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=1000",5789,5.243455200
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=1000",5415,5.225896100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=5000",5829,5.245174800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=5000",5497,5.234931800
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=5000",5577,5.240162400
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=5000",5224,5.224424700
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=5000",5039,5.229279100
"old","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=5000",5340,5.229139400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=100",5587,5.226734100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=100",5504,5.220866800
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=20 requests=100",5930,5.235504600
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=40 requests=100",5595,5.224982400
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=100 requests=100",5908,5.233467500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=200 requests=100",5501,5.220783500
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=1 requests=1000",5892,5.231527100
"new","http2\compat.js","duration=5 benchmarker='test-double-http2' clients=2 streams=10 requests=1000",5524,5.223542600
