"binary","filename","configuration","rate","time"
"old","misc\arguments.js","n=1000000 method='restAndSpread'",6734464.768310841,0.148489900
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",6948048.744730773,0.143925300
"old","misc\arguments.js","n=1000000 method='restAndApply'",5920105.804130931,0.168915900
"old","misc\arguments.js","n=1000000 method='predefined'",6795458.730839354,0.147157100
"new","misc\arguments.js","n=1000000 method='restAndSpread'",6520847.4754212955,0.153354300
"new","misc\arguments.js","n=1000000 method='argumentsAndApply'",6801675.38868174,0.147022600
"new","misc\arguments.js","n=1000000 method='restAndApply'",6196017.200143747,0.161394000
"new","misc\arguments.js","n=1000000 method='predefined'",6658427.971789572,0.150185600
"old","misc\arguments.js","n=1000000 method='restAndSpread'",6877451.381576821,0.145402700
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",5722346.047432526,0.174753500
"old","misc\arguments.js","n=1000000 method='restAndApply'",6069231.726301926,0.164765500
"old","misc\arguments.js","n=1000000 method='predefined'",6486788.034470791,0.154159500
"new","misc\arguments.js","n=1000000 method='restAndSpread'",7130709.469938712,0.140238500
"new","misc\arguments.js","n=1000000 method='argumentsAndApply'",6444669.291795292,0.155167000
"new","misc\arguments.js","n=1000000 method='restAndApply'",6231861.388446254,0.160465700
"new","misc\arguments.js","n=1000000 method='predefined'",6578497.260713741,0.152010400
"old","misc\arguments.js","n=1000000 method='restAndSpread'",5633206.173092653,0.177518800
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",6954533.347335127,0.143791100
"old","misc\arguments.js","n=1000000 method='restAndApply'",6289106.450044684,0.159005100
"old","misc\arguments.js","n=1000000 method='predefined'",6799293.689371548,0.147074100
"new","misc\arguments.js","n=1000000 method='restAndSpread'",7021559.699055951,0.142418500
"new","misc\arguments.js","n=1000000 method='argumentsAndApply'",7100094.289252161,0.140843200
"new","misc\arguments.js","n=1000000 method='restAndApply'",5992433.95289108,0.166877100
"new","misc\arguments.js","n=1000000 method='predefined'",6716922.6821746975,0.148877700
"old","misc\arguments.js","n=1000000 method='restAndSpread'",6706278.417854796,0.149114000
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",6914467.347465121,0.144624300
"old","misc\arguments.js","n=1000000 method='restAndApply'",6858489.472561584,0.145804700
"old","misc\arguments.js","n=1000000 method='predefined'",6897422.226391331,0.144981700
"new","misc\arguments.js","n=1000000 method='restAndSpread'",6830839.052453331,0.146394900
"new","misc\arguments.js","n=1000000 method='argumentsAndApply'",6780419.504554748,0.147483500
"new","misc\arguments.js","n=1000000 method='restAndApply'",7019676.856195603,0.142456700
"new","misc\arguments.js","n=1000000 method='predefined'",6768766.744236734,0.147737400
"old","misc\arguments.js","n=1000000 method='restAndSpread'",6691039.894656268,0.149453600
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",6178545.125622179,0.161850400
"old","misc\arguments.js","n=1000000 method='restAndApply'",6270665.762854708,0.159472700
"old","misc\arguments.js","n=1000000 method='predefined'",6821356.849733694,0.146598400
"new","misc\arguments.js","n=1000000 method='restAndSpread'",6959363.580119326,0.143691300
"new","misc\arguments.js","n=1000000 method='argumentsAndApply'",7047633.545608056,0.141891600
"new","misc\arguments.js","n=1000000 method='restAndApply'",7098481.492839051,0.140875200
"new","misc\arguments.js","n=1000000 method='predefined'",6842762.8886860395,0.146139800
"old","misc\arguments.js","n=1000000 method='restAndSpread'",5617990.15278686,0.177999600
"old","misc\arguments.js","n=1000000 method='argumentsAndApply'",6425810.1661457475,0.155622400
