"binary","filename","configuration","rate","time"
"old","module\module-loader-circular.js","n=10000",2046.8444086310353,4.885569200
"new","module\module-loader-circular.js","n=10000",2125.844510332869,4.704012900
"old","module\module-loader-circular.js","n=10000",2060.674287658385,4.852780500
"new","module\module-loader-circular.js","n=10000",2132.583437380302,4.689148300
"old","module\module-loader-circular.js","n=10000",2050.6321165777795,4.876545100
"new","module\module-loader-circular.js","n=10000",2115.067900236308,4.727980600
"old","module\module-loader-circular.js","n=10000",2056.2488941236415,4.863224500
"new","module\module-loader-circular.js","n=10000",2129.4802347607156,4.695981600
"old","module\module-loader-circular.js","n=10000",2038.858024203039,4.904706400
"new","module\module-loader-circular.js","n=10000",2134.8086853837444,4.684260500
"old","module\module-loader-circular.js","n=10000",2047.7134013770751,4.883495900
"new","module\module-loader-circular.js","n=10000",2135.6457536047833,4.682424500
"old","module\module-loader-circular.js","n=10000",2048.98575819665,4.880463400
"new","module\module-loader-circular.js","n=10000",2136.613302541602,4.680304100
"old","module\module-loader-circular.js","n=10000",2019.7574695428148,4.951089500
"new","module\module-loader-circular.js","n=10000",2146.4148561442717,4.658931600
"old","module\module-loader-circular.js","n=10000",2070.4388986772337,4.829893800
"new","module\module-loader-circular.js","n=10000",2128.643732517183,4.697827000
"old","module\module-loader-circular.js","n=10000",2046.0356381761112,4.887500400
"new","module\module-loader-circular.js","n=10000",2130.9539385782364,4.692734000
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",717308.657915501,0.001394100
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1648.1037988957376,0.606757900
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",631153.7490532694,0.001584400
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1896.6924717999764,0.527233600
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",773275.5954222084,0.001293200
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1760.3830030091988,0.568058200
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",652188.0910454575,0.001533300
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1970.2814566763677,0.507541700
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",524548.8879563576,0.001906400
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1805.143757135959,0.553972500
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",601286.753652817,0.001663100
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1884.2117936961433,0.530725900
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",559409.2638174088,0.001787600
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1817.0281704779438,0.550349200
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",624375.6243756245,0.001601600
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1999.9012048804789,0.500024700
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",547915.1827297134,0.001825100
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1766.8259695855045,0.565986700
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",656555.7087518875,0.001523100
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1744.3866509764903,0.573267400
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",762834.6937218704,0.001310900
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1894.2088164433994,0.527924900
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",626762.7702914447,0.001595500
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1875.047930912734,0.533319700
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",520264.2942614849,0.001922100
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1854.1073390945394,0.539343100
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",624726.6820765915,0.001600700
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1865.4569054271178,0.536061700
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",603318.2503770739,0.001657500
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1884.3204377351751,0.530695300
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",645827.9514337381,0.001548400
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",2010.6346487843502,0.497355400
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",519291.6861401049,0.001925700
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1774.8285648718477,0.563434700
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",665823.2904987016,0.001501900
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1957.412191467797,0.510878600
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",781738.5866166353,0.001279200
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1904.0332946878043,0.525200900
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",665203.2195835828,0.001503300
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1971.9933559599851,0.507101100
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",543065.0591940915,0.001841400
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1833.9639112581544,0.545267000
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",585205.9925093633,0.001708800
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1883.788343569839,0.530845200
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",552150.6266909613,0.001811100
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1904.6897079520224,0.525019900
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",689845.4746136864,0.001449600
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1821.1751679123504,0.549096000
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",547195.6224350205,0.001827500
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1886.4489767429138,0.530096500
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",653466.640528001,0.001530300
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1911.8554346689364,0.523052100
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",538996.3887241955,0.001855300
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1881.3192337236255,0.531541900
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",679994.5600435196,0.001470600
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1961.3204079703355,0.509860600
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",512978.3523135324,0.001949400
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1814.2712389930432,0.551185500
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",661550.6747816883,0.001511600
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1934.2071694483468,0.517007700
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",778513.0400934216,0.001284500
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1728.916297975266,0.578397000
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",702790.0766041183,0.001422900
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1986.017641397505,0.503520200
"old","module\module-loader-deep.js","cache='true' files=1000 ext=''",379233.19048883155,0.002636900
"old","module\module-loader-deep.js","cache='false' files=1000 ext=''",1831.510217537626,0.545997500
"old","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",673627.4840013473,0.001484500
"old","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1780.9626138547137,0.561494100
"new","module\module-loader-deep.js","cache='true' files=1000 ext=''",518752.9179851636,0.001927700
"new","module\module-loader-deep.js","cache='false' files=1000 ext=''",1877.6553567348026,0.532579100
"new","module\module-loader-deep.js","cache='true' files=1000 ext='.js'",630278.5831337451,0.001586600
"new","module\module-loader-deep.js","cache='false' files=1000 ext='.js'",1919.4753229373268,0.520975700
