"binary","filename","configuration","rate","time"
"old","napi\define_properties","implem='runFastPath' n=5000000",4117871.943077174,1.214219400
"old","napi\define_properties","implem='runSlowPath' n=5000000",2282318.092058761,2.190755100
"new","napi\define_properties","implem='runFastPath' n=5000000",3885364.345379051,1.286880600
"new","napi\define_properties","implem='runSlowPath' n=5000000",2463520.7998756417,2.029615500
"old","napi\define_properties","implem='runFastPath' n=5000000",3955549.7470505047,1.264046800
"old","napi\define_properties","implem='runSlowPath' n=5000000",2294403.7565079615,2.179215400
"new","napi\define_properties","implem='runFastPath' n=5000000",4007288.7774114585,1.247726400
"new","napi\define_properties","implem='runSlowPath' n=5000000",2445876.902146237,2.044256600
"old","napi\define_properties","implem='runFastPath' n=5000000",4026548.4837105577,1.241758300
"old","napi\define_properties","implem='runSlowPath' n=5000000",2289827.286571152,2.183570800
"new","napi\define_properties","implem='runFastPath' n=5000000",4019646.4238612643,1.243890500
"new","napi\define_properties","implem='runSlowPath' n=5000000",2467700.636523638,2.026177700
"old","napi\define_properties","implem='runFastPath' n=5000000",4001675.9018677017,1.249476500
"old","napi\define_properties","implem='runSlowPath' n=5000000",2290325.719130211,2.183095600
"new","napi\define_properties","implem='runFastPath' n=5000000",4050045.9315709095,1.234553900
"new","napi\define_properties","implem='runSlowPath' n=5000000",2362242.966705036,2.116632400
"old","napi\define_properties","implem='runFastPath' n=5000000",4134097.2152803843,1.209453900
"old","napi\define_properties","implem='runSlowPath' n=5000000",2221459.718515285,2.250772300
"new","napi\define_properties","implem='runFastPath' n=5000000",4057686.0120363953,1.232229400
"new","napi\define_properties","implem='runSlowPath' n=5000000",2430048.266104671,2.057572300
"old","napi\define_properties","implem='runFastPath' n=5000000",4036023.2836568826,1.238843200
"old","napi\define_properties","implem='runSlowPath' n=5000000",2275673.442317459,2.197151800
"new","napi\define_properties","implem='runFastPath' n=5000000",4004329.481034895,1.248648500
"new","napi\define_properties","implem='runSlowPath' n=5000000",2417784.3318000874,2.068009100
"old","napi\define_properties","implem='runFastPath' n=5000000",4153871.013166525,1.203696500
"old","napi\define_properties","implem='runSlowPath' n=5000000",2281899.5755164768,2.191156900
"new","napi\define_properties","implem='runFastPath' n=5000000",4026747.590333841,1.241696900
"new","napi\define_properties","implem='runSlowPath' n=5000000",2452234.277242447,2.038956900
"old","napi\define_properties","implem='runFastPath' n=5000000",4039685.2212640624,1.237720200
"old","napi\define_properties","implem='runSlowPath' n=5000000",2268998.689063317,2.203615200
"new","napi\define_properties","implem='runFastPath' n=5000000",3942090.998597877,1.268362400
"new","napi\define_properties","implem='runSlowPath' n=5000000",2394212.9001148744,2.088369000
"old","napi\define_properties","implem='runFastPath' n=5000000",4056376.1649608114,1.232627300
"old","napi\define_properties","implem='runSlowPath' n=5000000",2254506.352387279,2.217780400
"new","napi\define_properties","implem='runFastPath' n=5000000",4028710.5249820743,1.241091900
"new","napi\define_properties","implem='runSlowPath' n=5000000",2431507.237356977,2.056337700
