"binary","filename","configuration","rate","time"
"old","os\cpus.js","n=30000",7281.038953776833,4.120291100
"new","os\cpus.js","n=30000",7300.8119476327365,4.109132000
"old","os\cpus.js","n=30000",7320.636892481391,4.098004100
"new","os\cpus.js","n=30000",7397.832420305185,4.055241900
"old","os\cpus.js","n=30000",7224.7129687764045,4.152414100
"new","os\cpus.js","n=30000",7366.666105981523,4.072398500
"old","os\cpus.js","n=30000",7229.096302960631,4.149896300
"new","os\cpus.js","n=30000",7159.796881335674,4.190063000
"old","os\cpus.js","n=30000",7394.913472856944,4.056842600
"new","os\cpus.js","n=30000",7451.860792980824,4.025840100
"old","os\cpus.js","n=30000",7493.85803395537,4.003278400
"new","os\cpus.js","n=30000",7198.0699383190195,4.167783900
"old","os\cpus.js","n=30000",7339.996516926986,4.087195400
"new","os\cpus.js","n=30000",7251.501381060523,4.137074300
"old","os\cpus.js","n=30000",7294.725512244744,4.112560500
"new","os\cpus.js","n=30000",7407.784381323701,4.049793900
"old","os\cpus.js","n=30000",7368.54533542957,4.071359900
"new","os\cpus.js","n=30000",7328.487021151773,4.093614400
"old","os\cpus.js","n=30000",7249.356051784181,4.138298600
"new","os\cpus.js","n=30000",7304.592650625327,4.107005200
"old","os\homedir.js","n=1000000",912496.0123924259,1.095895200
"new","os\homedir.js","n=1000000",798283.1165356045,1.252688400
"old","os\homedir.js","n=1000000",828271.35295972,1.207333800
"new","os\homedir.js","n=1000000",720981.7290973157,1.386997700
"old","os\homedir.js","n=1000000",866928.7739121714,1.153497300
"new","os\homedir.js","n=1000000",777937.5056351848,1.285450300
"old","os\homedir.js","n=1000000",905134.7297570917,1.104807900
"new","os\homedir.js","n=1000000",719934.9927498947,1.389014300
"old","os\homedir.js","n=1000000",900041.8879494652,1.111059400
"new","os\homedir.js","n=1000000",744770.7227054004,1.342695100
"old","os\homedir.js","n=1000000",830460.6315985288,1.204151000
"new","os\homedir.js","n=1000000",872118.248769114,1.146633500
"old","os\homedir.js","n=1000000",913758.3869313545,1.094381200
"new","os\homedir.js","n=1000000",745617.2987985271,1.341170600
"old","os\homedir.js","n=1000000",913057.9800034823,1.095220700
"new","os\homedir.js","n=1000000",787062.1465057943,1.270547700
"old","os\homedir.js","n=1000000",825484.0122320221,1.211410500
"new","os\homedir.js","n=1000000",810022.7681199663,1.234533200
"old","os\homedir.js","n=1000000",907080.0774827801,1.102438500
"new","os\homedir.js","n=1000000",807350.4413583025,1.238619500
"old","os\hostname.js","n=1000000",34139.63900295075,29.291463800
"new","os\hostname.js","n=1000000",34199.97003603825,29.239791700
"old","os\hostname.js","n=1000000",34051.57862760976,29.367214100
"new","os\hostname.js","n=1000000",33974.02466342282,29.434251900
"old","os\hostname.js","n=1000000",34203.336819394426,29.236913500
"new","os\hostname.js","n=1000000",34143.71109853348,29.287970400
"old","os\hostname.js","n=1000000",33898.88297451688,29.499497100
"new","os\hostname.js","n=1000000",34212.65408177679,29.228951300
"old","os\hostname.js","n=1000000",34048.01733321914,29.370285800
"new","os\hostname.js","n=1000000",34090.460530179,29.333719300
"old","os\hostname.js","n=1000000",34136.66265382232,29.294017700
"new","os\hostname.js","n=1000000",34168.3302173126,29.266867700
"old","os\hostname.js","n=1000000",34076.53285999212,29.345708500
"new","os\hostname.js","n=1000000",34126.83689405924,29.302452000
"old","os\hostname.js","n=1000000",34092.25836951647,29.332172400
"new","os\hostname.js","n=1000000",34061.23672195066,29.358887000
"old","os\hostname.js","n=1000000",33905.18933230721,29.494010200
"new","os\hostname.js","n=1000000",34049.26150454575,29.369212600
"old","os\hostname.js","n=1000000",34068.7307343457,29.352429000
"new","os\hostname.js","n=1000000",34017.74345768461,29.396423700
"old","os\loadavg.js","n=5000000",43805852.46188891,0.114140000
"new","os\loadavg.js","n=5000000",34130950.90194451,0.146494600
"old","os\loadavg.js","n=5000000",43790276.10644891,0.114180600
"new","os\loadavg.js","n=5000000",35903471.36303221,0.139262300
"old","os\loadavg.js","n=5000000",43631730.739863254,0.114595500
"new","os\loadavg.js","n=5000000",35079152.59992648,0.142534800
"old","os\loadavg.js","n=5000000",42877307.44230001,0.116611800
"new","os\loadavg.js","n=5000000",34875067.0473164,0.143368900
"old","os\loadavg.js","n=5000000",42997807.1118373,0.116285000
"new","os\loadavg.js","n=5000000",35985539.57077888,0.138944700
"old","os\loadavg.js","n=5000000",43463596.630006574,0.115038800
"new","os\loadavg.js","n=5000000",34066953.82837614,0.146769800
"old","os\loadavg.js","n=5000000",42608709.73157365,0.117346900
"new","os\loadavg.js","n=5000000",35981499.75208747,0.138960300
"old","os\loadavg.js","n=5000000",41776224.81624728,0.119685300
"new","os\loadavg.js","n=5000000",35388909.96495082,0.141287200
"old","os\loadavg.js","n=5000000",44066452.20993258,0.113465000
"new","os\loadavg.js","n=5000000",35648539.621925846,0.140258200
"old","os\loadavg.js","n=5000000",43170697.80252514,0.115819300
"new","os\loadavg.js","n=5000000",35931491.58089221,0.139153700
"old","os\networkInterfaces.js","n=10000",325.42198958194695,30.729330900
"new","os\networkInterfaces.js","n=10000",325.178753118135,30.752316700
"old","os\networkInterfaces.js","n=10000",325.5408606664249,30.718110100
"new","os\networkInterfaces.js","n=10000",326.5573350314228,30.622493900
"old","os\networkInterfaces.js","n=10000",326.7133156651129,30.607874000
"new","os\networkInterfaces.js","n=10000",326.0600774757219,30.669194700
"old","os\networkInterfaces.js","n=10000",326.0824647357874,30.667089100
