"binary","filename","configuration","rate","time"
"old","path\basename-posix.js","n=100000 pathext=''",21453242.657627698,0.004661300
"old","path\basename-posix.js","n=100000 pathext='/'",15277905.093653558,0.006545400
"old","path\basename-posix.js","n=100000 pathext='/foo'",13840255.767926592,0.007225300
"old","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz'",7585066.5210333895,0.013183800
"old","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz|.baz'",6851520.695018259,0.014595300
"old","path\basename-posix.js","n=100000 pathext='foo'",15490906.837686278,0.006455400
"old","path\basename-posix.js","n=100000 pathext='foo/bar.'",9806325.079676392,0.010197500
"old","path\basename-posix.js","n=100000 pathext='foo/bar.|.'",8105172.721230689,0.012337800
"old","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html'",7466977.292922053,0.013392300
"old","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html|.html'",6451654.5268033985,0.015499900
"new","path\basename-posix.js","n=100000 pathext=''",22208403.65994492,0.004502800
"new","path\basename-posix.js","n=100000 pathext='/'",15167832.061763413,0.006592900
"new","path\basename-posix.js","n=100000 pathext='/foo'",14540590.057144519,0.006877300
"new","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz'",7709505.820676895,0.012971000
"new","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz|.baz'",6846079.592521342,0.014606900
"new","path\basename-posix.js","n=100000 pathext='foo'",15162542.455118874,0.006595200
"new","path\basename-posix.js","n=100000 pathext='foo/bar.'",10055405.283109937,0.009944900
"new","path\basename-posix.js","n=100000 pathext='foo/bar.|.'",8804134.421524348,0.011358300
"new","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html'",7201446.050366914,0.013886100
"new","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html|.html'",6218402.741071928,0.016081300
"old","path\basename-posix.js","n=100000 pathext=''",21278859.453133315,0.004699500
"old","path\basename-posix.js","n=100000 pathext='/'",15460012.677210396,0.006468300
"old","path\basename-posix.js","n=100000 pathext='/foo'",13923116.550408643,0.007182300
"old","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz'",7343545.757633616,0.013617400
"old","path\basename-posix.js","n=100000 pathext='/foo/.bar.baz|.baz'",6819282.20235538,0.014664300
"old","path\basename-posix.js","n=100000 pathext='foo'",15660235.529942371,0.006385600
"old","path\basename-posix.js","n=100000 pathext='foo/bar.'",9717984.10137801,0.010290200
"old","path\basename-posix.js","n=100000 pathext='foo/bar.|.'",7769162.639650699,0.012871400
"old","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html'",7381653.638047996,0.013547100
"old","path\basename-posix.js","n=100000 pathext='/foo/bar/baz/asdf/quux.html|.html'",6723909.549968734,0.014872300
