"binary","filename","configuration","rate","time"
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",40420698.631355144,0.024739800
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",14102204.315556565,0.070910900
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11700682.500810271,0.085465100
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36954778.43762588,0.027060100
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13234690.771450125,0.075559000
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11219818.687730007,0.089128000
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",40002720.18497258,0.024998300
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13225623.85267713,0.075610800
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11771935.235521108,0.084947800
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36445140.951582626,0.027438500
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",12965460.014521316,0.077128000
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11459741.926611813,0.087262000
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",39220454.25130114,0.025496900
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13747046.103468517,0.072742900
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11766768.527659556,0.084985100
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36228208.73244743,0.027602800
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13239579.457998095,0.075531100
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11634265.237978896,0.085953000
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",38921561.37735622,0.025692700
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13177643.86363247,0.075886100
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11385462.813370632,0.087831300
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36018124.3201579,0.027763800
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",12905840.279901862,0.077484300
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11696467.315976556,0.085495900
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",39645411.44007993,0.025223600
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",14125131.71685326,0.070795800
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11878628.921135407,0.084184800
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36214301.75204792,0.027613400
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",12953552.446990825,0.077198900
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11731677.758967986,0.085239300
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",40409754.91483644,0.024746500
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13882371.886531046,0.072033800
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11655283.339937994,0.085798000
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36442617.454556055,0.027440400
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",12999573.613985462,0.076925600
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11732627.498463025,0.085232400
"old","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",39762538.12233342,0.025149300
"old","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",14004111.607167864,0.071407600
"old","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11548864.400163531,0.086588600
"new","perf_hooks\bench-eventlooputil.js","method='idleTime' n=1000000",36051365.98625722,0.027738200
"new","perf_hooks\bench-eventlooputil.js","method='ELU_simple' n=1000000",13175803.427553505,0.075896700
"new","perf_hooks\bench-eventlooputil.js","method='ELU_passed' n=1000000",11553774.733743262,0.086551800
