"binary","filename","configuration","rate","time"
"old","process\bench-env.js","operation='get' n=1000000",164498.44555548887,6.079084800
"old","process\bench-env.js","operation='set' n=1000000",517447.18054415163,1.932564400
"old","process\bench-env.js","operation='enumerate' n=1000000",11370.018561782701,8.795060400
"old","process\bench-env.js","operation='query' n=1000000",338193.8897360082,2.956883700
"old","process\bench-env.js","operation='delete' n=1000000",548730.4161544039,1.822388500
"new","process\bench-env.js","operation='get' n=1000000",195477.51050789357,5.115678000
"new","process\bench-env.js","operation='set' n=1000000",529745.7257598554,1.887698100
"new","process\bench-env.js","operation='enumerate' n=1000000",12531.362397313787,7.979978300
"new","process\bench-env.js","operation='query' n=1000000",431630.52358120563,2.316796300
"new","process\bench-env.js","operation='delete' n=1000000",566498.0315326401,1.765231200
"old","process\bench-env.js","operation='get' n=1000000",164376.68574455357,6.083587800
"old","process\bench-env.js","operation='set' n=1000000",520765.1727667102,1.920251300
"old","process\bench-env.js","operation='enumerate' n=1000000",12642.849342219099,7.909609400
"old","process\bench-env.js","operation='query' n=1000000",337802.071902252,2.960313400
"old","process\bench-env.js","operation='delete' n=1000000",558864.4678777558,1.789342600
"new","process\bench-env.js","operation='get' n=1000000",196387.20597054812,5.091981400
"new","process\bench-env.js","operation='set' n=1000000",539646.2737397816,1.853065700
"new","process\bench-env.js","operation='enumerate' n=1000000",13792.267922197045,7.250439200
"new","process\bench-env.js","operation='query' n=1000000",435175.1177311884,2.297925500
"new","process\bench-env.js","operation='delete' n=1000000",573651.4544244246,1.743218800
"old","process\bench-env.js","operation='get' n=1000000",166017.5628983685,6.023459100
"old","process\bench-env.js","operation='set' n=1000000",515183.6469994623,1.941055400
"old","process\bench-env.js","operation='enumerate' n=1000000",11383.542427948183,8.784611700
"old","process\bench-env.js","operation='query' n=1000000",336743.954679921,2.969615300
"old","process\bench-env.js","operation='delete' n=1000000",565316.083202995,1.768921900
"new","process\bench-env.js","operation='get' n=1000000",196573.10180167112,5.087166000
"new","process\bench-env.js","operation='set' n=1000000",526653.5129685268,1.898781600
"new","process\bench-env.js","operation='enumerate' n=1000000",14426.55309814772,6.931662700
"new","process\bench-env.js","operation='query' n=1000000",436330.3102478675,2.291841700
"new","process\bench-env.js","operation='delete' n=1000000",579631.5502495053,1.725233900
"old","process\bench-env.js","operation='get' n=1000000",165998.3214581731,6.024157300
"old","process\bench-env.js","operation='set' n=1000000",521639.6741609074,1.917032100
"old","process\bench-env.js","operation='enumerate' n=1000000",12261.93890118632,8.155317100
"old","process\bench-env.js","operation='query' n=1000000",337554.1896837836,2.962487300
"old","process\bench-env.js","operation='delete' n=1000000",554100.7332969104,1.804726000
"new","process\bench-env.js","operation='get' n=1000000",194445.93195582388,5.142817800
"new","process\bench-env.js","operation='set' n=1000000",530117.1198355195,1.886375600
"new","process\bench-env.js","operation='enumerate' n=1000000",12612.360842620225,7.928729700
"new","process\bench-env.js","operation='query' n=1000000",434611.9762545401,2.300903000
"new","process\bench-env.js","operation='delete' n=1000000",542734.7732231596,1.842520600
"old","process\bench-env.js","operation='get' n=1000000",166527.63829237764,6.005009200
"old","process\bench-env.js","operation='set' n=1000000",527003.223573318,1.897521600
"old","process\bench-env.js","operation='enumerate' n=1000000",12098.04634214722,8.265797400
"old","process\bench-env.js","operation='query' n=1000000",338364.97846679116,2.955388600
"old","process\bench-env.js","operation='delete' n=1000000",564717.8517139017,1.770795800
"new","process\bench-env.js","operation='get' n=1000000",197248.98030660264,5.069734700
"new","process\bench-env.js","operation='set' n=1000000",542016.7010522062,1.844961600
"new","process\bench-env.js","operation='enumerate' n=1000000",12945.73475517719,7.724551900
"new","process\bench-env.js","operation='query' n=1000000",435868.92671679077,2.294267700
"new","process\bench-env.js","operation='delete' n=1000000",574611.2941343852,1.740306900
"old","process\bench-env.js","operation='get' n=1000000",166333.53939841085,6.012016600
"old","process\bench-env.js","operation='set' n=1000000",526553.1818187083,1.899143400
"old","process\bench-env.js","operation='enumerate' n=1000000",12468.302302617392,8.020338100
"old","process\bench-env.js","operation='query' n=1000000",331281.79352782713,3.018578200
"old","process\bench-env.js","operation='delete' n=1000000",571655.0775032805,1.749306600
"new","process\bench-env.js","operation='get' n=1000000",196927.4861597886,5.078011300
"new","process\bench-env.js","operation='set' n=1000000",543227.0183735675,1.840851000
"new","process\bench-env.js","operation='enumerate' n=1000000",13027.911322916,7.675827500
"new","process\bench-env.js","operation='query' n=1000000",435792.81433430646,2.294668400
"new","process\bench-env.js","operation='delete' n=1000000",580752.8066331262,1.721903000
"old","process\bench-env.js","operation='get' n=1000000",166708.8384458322,5.998482200
"old","process\bench-env.js","operation='set' n=1000000",524741.2343551025,1.905701200
"old","process\bench-env.js","operation='enumerate' n=1000000",12068.423228885877,8.286086600
"old","process\bench-env.js","operation='query' n=1000000",339024.84858895995,2.949636300
"old","process\bench-env.js","operation='delete' n=1000000",569976.1094513723,1.754459500
