"binary","filename","configuration","rate","time"
"old","querystring\querystring-parse.js","n=1000000 type='noencode'",1960398.3843180675,0.510100400
"old","querystring\querystring-parse.js","n=1000000 type='multicharsep'",1478712.0181727794,0.676264200
"old","querystring\querystring-parse.js","n=1000000 type='encodefake'",1855786.462817184,0.538855100
"old","querystring\querystring-parse.js","n=1000000 type='encodemany'",447745.04179453704,2.233413900
"old","querystring\querystring-parse.js","n=1000000 type='encodelast'",1065813.9018583638,0.938250100
"old","querystring\querystring-parse.js","n=1000000 type='multivalue'",1345443.9433562718,0.743249100
"old","querystring\querystring-parse.js","n=1000000 type='multivaluemany'",483285.1014802056,2.069172000
"old","querystring\querystring-parse.js","n=1000000 type='manypairs'",561868.3651422935,1.779776300
"old","querystring\querystring-parse.js","n=1000000 type='manyblankpairs'",9168751.793637069,0.109066100
"old","querystring\querystring-parse.js","n=1000000 type='altspaces'",1224705.3940556964,0.816522900
"new","querystring\querystring-parse.js","n=1000000 type='noencode'",1822542.0013916933,0.548684200
"new","querystring\querystring-parse.js","n=1000000 type='multicharsep'",1565053.2376334579,0.638955900
"new","querystring\querystring-parse.js","n=1000000 type='encodefake'",1787268.8904938565,0.559512900
"new","querystring\querystring-parse.js","n=1000000 type='encodemany'",459357.45355011884,2.176953900
"new","querystring\querystring-parse.js","n=1000000 type='encodelast'",1142947.533679235,0.874930800
"new","querystring\querystring-parse.js","n=1000000 type='multivalue'",1526064.0290684674,0.655280500
"new","querystring\querystring-parse.js","n=1000000 type='multivaluemany'",525988.4032180812,1.901182600
"new","querystring\querystring-parse.js","n=1000000 type='manypairs'",596226.8380779078,1.677214000
"new","querystring\querystring-parse.js","n=1000000 type='manyblankpairs'",9329776.822408631,0.107183700
"new","querystring\querystring-parse.js","n=1000000 type='altspaces'",1275866.763275298,0.783780900
"old","querystring\querystring-parse.js","n=1000000 type='noencode'",1976591.2300623714,0.505921500
"old","querystring\querystring-parse.js","n=1000000 type='multicharsep'",1496338.4597888966,0.668298000
"old","querystring\querystring-parse.js","n=1000000 type='encodefake'",1877412.1225627202,0.532648100
"old","querystring\querystring-parse.js","n=1000000 type='encodemany'",442711.6905636534,2.258806400
"old","querystring\querystring-parse.js","n=1000000 type='encodelast'",1082018.0502251138,0.924199000
"old","querystring\querystring-parse.js","n=1000000 type='multivalue'",1309965.47062016,0.763378900
"old","querystring\querystring-parse.js","n=1000000 type='multivaluemany'",502230.8592537191,1.991116200
