"binary","filename","configuration","rate","time"
"old","readline\readline-iterable.js","type='old' n=10",26508.927593383723,0.004564500
"old","readline\readline-iterable.js","type='new' n=10",31894.14307554431,0.003793800
"old","readline\readline-iterable.js","type='old' n=100",131342.9571303587,0.009144000
"old","readline\readline-iterable.js","type='new' n=100",195405.29107415964,0.006146200
"old","readline\readline-iterable.js","type='old' n=1000",519670.03702340485,0.023093500
"old","readline\readline-iterable.js","type='new' n=1000",755487.8471020013,0.015885100
"old","readline\readline-iterable.js","type='old' n=10000",1396997.8765809229,0.085899200
"old","readline\readline-iterable.js","type='new' n=10000",2434512.1684019184,0.049291600
"old","readline\readline-iterable.js","type='old' n=100000",2119861.0856188214,0.566075300
"old","readline\readline-iterable.js","type='new' n=100000",3805599.3639580226,0.315325100
"old","readline\readline-iterable.js","type='old' n=1000000",2299447.8298062296,5.218644600
"old","readline\readline-iterable.js","type='new' n=1000000",4181657.2387146577,2.869675900
"new","readline\readline-iterable.js","type='old' n=10",27551.973040052828,0.004391700
"new","readline\readline-iterable.js","type='new' n=10",32685.03511615343,0.003702000
"new","readline\readline-iterable.js","type='old' n=100",138977.28456206532,0.008641700
"new","readline\readline-iterable.js","type='new' n=100",198299.34780814,0.006056500
"new","readline\readline-iterable.js","type='old' n=1000",521401.7587153731,0.023016800
"new","readline\readline-iterable.js","type='new' n=1000",830496.0416320655,0.014450400
"new","readline\readline-iterable.js","type='old' n=10000",1459154.3541411064,0.082240100
"new","readline\readline-iterable.js","type='new' n=10000",2584785.6476664967,0.046425900
"new","readline\readline-iterable.js","type='old' n=100000",2170768.813314038,0.552800000
"new","readline\readline-iterable.js","type='new' n=100000",3764895.6403172296,0.318734200
"new","readline\readline-iterable.js","type='old' n=1000000",2299902.0241819345,5.217614000
"new","readline\readline-iterable.js","type='new' n=1000000",4192276.876387862,2.862406600
"old","readline\readline-iterable.js","type='old' n=10",26551.391205125954,0.004557200
"old","readline\readline-iterable.js","type='new' n=10",32284.74612449638,0.003747900
"old","readline\readline-iterable.js","type='old' n=100",134635.2181516524,0.008920400
"old","readline\readline-iterable.js","type='new' n=100",194869.46504194316,0.006163100
"old","readline\readline-iterable.js","type='old' n=1000",519771.31967603625,0.023089000
"old","readline\readline-iterable.js","type='new' n=1000",822560.9672510932,0.014589800
"old","readline\readline-iterable.js","type='old' n=10000",1422685.9612890377,0.084348200
"old","readline\readline-iterable.js","type='new' n=10000",2558498.515017195,0.046902900
"old","readline\readline-iterable.js","type='old' n=100000",2144343.886712977,0.559612200
"old","readline\readline-iterable.js","type='new' n=100000",3905467.584971513,0.307261800
"old","readline\readline-iterable.js","type='old' n=1000000",2279158.4443658516,5.265101700
"old","readline\readline-iterable.js","type='new' n=1000000",4136478.191730436,2.901018800
"new","readline\readline-iterable.js","type='old' n=10",26660.791010245677,0.004538500
"new","readline\readline-iterable.js","type='new' n=10",32308.020933461496,0.003745200
