"binary","filename","configuration","rate","time"
"old","streams\creation.js","kind='duplex' n=50000000",11289634.095056236,4.428841500
"old","streams\creation.js","kind='readable' n=50000000",42503615.995130785,1.176370500
"old","streams\creation.js","kind='transform' n=50000000",10537667.63058225,4.744883000
"old","streams\creation.js","kind='writable' n=50000000",35922471.83390828,1.391886400
"new","streams\creation.js","kind='duplex' n=50000000",11561506.823208237,4.324695800
"new","streams\creation.js","kind='readable' n=50000000",44720263.126872994,1.118061400
"new","streams\creation.js","kind='transform' n=50000000",11851724.590666914,4.218795300
"new","streams\creation.js","kind='writable' n=50000000",34640785.104296125,1.443385300
"old","streams\creation.js","kind='duplex' n=50000000",11325352.29716764,4.414873700
"old","streams\creation.js","kind='readable' n=50000000",42757101.013822176,1.169396400
"old","streams\creation.js","kind='transform' n=50000000",11447090.335079687,4.367922200
"old","streams\creation.js","kind='writable' n=50000000",35858495.77769798,1.394369700
"new","streams\creation.js","kind='duplex' n=50000000",11656598.47401138,4.289416000
"new","streams\creation.js","kind='readable' n=50000000",44596946.17951341,1.121153000
"new","streams\creation.js","kind='transform' n=50000000",11776974.441562958,4.245572600
"new","streams\creation.js","kind='writable' n=50000000",37276718.0503859,1.341319800
"old","streams\creation.js","kind='duplex' n=50000000",11283374.897149216,4.431298300
"old","streams\creation.js","kind='readable' n=50000000",42686835.798170835,1.171321300
"old","streams\creation.js","kind='transform' n=50000000",11596540.492208667,4.311630700
"old","streams\creation.js","kind='writable' n=50000000",35521071.383713394,1.407615200
"new","streams\creation.js","kind='duplex' n=50000000",11543073.173780207,4.331602100
"new","streams\creation.js","kind='readable' n=50000000",44646377.03133202,1.119911700
"new","streams\creation.js","kind='transform' n=50000000",11749754.94123607,4.255407900
"new","streams\creation.js","kind='writable' n=50000000",37215431.27437471,1.343528700
"old","streams\creation.js","kind='duplex' n=50000000",11323260.960559927,4.415689100
"old","streams\creation.js","kind='readable' n=50000000",42559272.93780959,1.174832100
"old","streams\creation.js","kind='transform' n=50000000",10699048.206252143,4.673312900
"old","streams\creation.js","kind='writable' n=50000000",35879078.32101413,1.393569800
"new","streams\creation.js","kind='duplex' n=50000000",11697864.559503809,4.274284400
"new","streams\creation.js","kind='readable' n=50000000",44867293.761875816,1.114397500
"new","streams\creation.js","kind='transform' n=50000000",11696615.34340011,4.274740900
"new","streams\creation.js","kind='writable' n=50000000",37363539.014633805,1.338203000
"old","streams\creation.js","kind='duplex' n=50000000",11176210.300871627,4.473788400
"old","streams\creation.js","kind='readable' n=50000000",42614175.09397491,1.173318500
"old","streams\creation.js","kind='transform' n=50000000",11632030.937480044,4.298475500
"old","streams\creation.js","kind='writable' n=50000000",35906877.38067085,1.392490900
