"binary","filename","configuration","rate","time"
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18389389.587015502,1.359479600
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22108455.060276046,1.130789100
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21605874.792918492,1.157092700
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",20127633.34859008,1.242073500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16146710.301536586,1.548303000
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15143990.882590577,1.650819800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10127309.598781513,2.468572700
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",17572568.910653256,1.422671900
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18982181.502152655,1.317024600
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",23410723.253693484,1.067886700
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",22749238.15076357,1.098937900
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",19400623.17905751,1.288618400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",17691218.185440056,1.413130500
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15687616.139344184,1.593613700
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",11504793.380123481,2.173007300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18835971.612533215,1.327247700
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18548817.66868369,1.347794800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22250067.43995441,1.123592100
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21636940.10739192,1.155431400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",20105822.57383642,1.243420900
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16101136.778899318,1.552685400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15104321.013947029,1.655155500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",11025399.654199364,2.267491500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18168913.62832769,1.375976600
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",19005777.37620682,1.315389500
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",23226550.6602658,1.076354400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",22854119.32245398,1.093894700
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",20043875.24114786,1.247263800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16981838.26361383,1.472161000
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",14931809.412773745,1.674278000
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10498377.727683252,2.381320300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",17609141.990330327,1.419717100
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18354049.916555148,1.362097200
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22110723.24971736,1.130673100
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21123776.458058108,1.183500500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",19201603.472141467,1.301974600
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",17165974.51168639,1.456369400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",14903113.66580948,1.677501800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10399045.484093871,2.404066800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",17966431.375885844,1.391483900
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18944981.27364381,1.319610700
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22889071.411430784,1.092224300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",22889633.056292474,1.092197500
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",18729617.961493853,1.334784300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",17612728.50753966,1.419428000
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",14895921.008241735,1.678311800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10612673.008856656,2.355674200
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18596701.807986226,1.344324400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",17916150.980120957,1.395389000
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22060603.301025137,1.133241900
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21546980.087315258,1.160255400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",18223912.10534296,1.371824000
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16751926.153221024,1.492365700
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15018743.99325334,1.664586600
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10093508.68691769,2.476839400
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18145969.66400342,1.377716400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",17725934.225864846,1.410362900
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",23575517.711296283,1.060422100
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",18255485.371733528,1.369451400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",19682279.20163322,1.270178100
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",17567359.22818299,1.423093800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15841942.531389067,1.578089300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10442428.57305759,2.394079100
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18714643.827015907,1.335852300
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",17984652.760597438,1.390074100
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22212018.514517065,1.125516800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21506347.598493695,1.162447500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",19164658.52986371,1.304484500
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16678175.719791703,1.498964900
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15944877.156520719,1.567901700
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10025460.659891862,2.493651000
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18104654.17068952,1.380860400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18854793.054316584,1.325922800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",23216943.39096274,1.076799800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",22616036.77837994,1.105410300
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",20030449.48809382,1.248099800
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16844041.15767343,1.484204400
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-8'",15833842.444147388,1.578896600
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='AscII'",10473115.888546273,2.387064200
"new","string_decoder\string-decoder-create.js","n=25000000 encoding='UTF-16LE'",18568582.166941658,1.346360200
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ascii'",18144015.290905174,1.377864800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf8'",22055340.73163564,1.133512300
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='utf-8'",21513704.22959425,1.162050000
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='base64'",19914688.660130188,1.255354800
"old","string_decoder\string-decoder-create.js","n=25000000 encoding='ucs2'",16092293.033961754,1.553538700
