"binary","filename","configuration","rate","time"
"old","timers\immediate.js","type='depth' n=5000000",775213.7376680742,6.449834100
"old","timers\immediate.js","type='depth1' n=5000000",772586.5404701148,6.471766900
"old","timers\immediate.js","type='breadth' n=5000000",3606135.565598563,1.386525800
"old","timers\immediate.js","type='breadth1' n=5000000",1865830.724746494,2.679771500
"old","timers\immediate.js","type='breadth4' n=5000000",1179796.3926262348,2.119009700
"old","timers\immediate.js","type='clear' n=5000000",20957785.46625781,0.954299300
"new","timers\immediate.js","type='depth' n=5000000",798773.5184085185,6.259596600
"new","timers\immediate.js","type='depth1' n=5000000",799260.230307155,6.255784800
"new","timers\immediate.js","type='breadth' n=5000000",3570829.1822444093,1.400235000
"new","timers\immediate.js","type='breadth1' n=5000000",1921340.4746740812,2.602349800
"new","timers\immediate.js","type='breadth4' n=5000000",1237018.1746173867,2.020988900
"new","timers\immediate.js","type='clear' n=5000000",21150735.3687673,0.945593600
"old","timers\immediate.js","type='depth' n=5000000",770217.299095942,6.491674500
"old","timers\immediate.js","type='depth1' n=5000000",772828.4043496947,6.469741500
"old","timers\immediate.js","type='breadth' n=5000000",3477595.3485353864,1.437775100
"old","timers\immediate.js","type='breadth1' n=5000000",1877212.7175605067,2.663523400
"old","timers\immediate.js","type='breadth4' n=5000000",1176987.4657426027,2.124066800
"old","timers\immediate.js","type='clear' n=5000000",21361101.626188625,0.936281300
"new","timers\immediate.js","type='depth' n=5000000",795886.5780127546,6.282302200
"new","timers\immediate.js","type='depth1' n=5000000",794258.0859047307,6.295183000
"new","timers\immediate.js","type='breadth' n=5000000",3796116.360380814,1.317135600
"new","timers\immediate.js","type='breadth1' n=5000000",1973766.6672259003,2.533227500
"new","timers\immediate.js","type='breadth4' n=5000000",1227754.5003709537,2.036237700
"new","timers\immediate.js","type='clear' n=5000000",21745521.72725549,0.919729600
"old","timers\immediate.js","type='depth' n=5000000",779581.9018065765,6.413694300
"old","timers\immediate.js","type='depth1' n=5000000",771352.4631829612,6.482121000
"old","timers\immediate.js","type='breadth' n=5000000",3587501.3462098804,1.393727700
"old","timers\immediate.js","type='breadth1' n=5000000",1765934.806772826,2.831361600
"old","timers\immediate.js","type='breadth4' n=5000000",1185500.700488654,2.108813600
"old","timers\immediate.js","type='clear' n=5000000",21297290.36704389,0.939086600
"new","timers\immediate.js","type='depth' n=5000000",800041.9734020926,6.249672100
"new","timers\immediate.js","type='depth1' n=5000000",795362.5653891426,6.286441200
"new","timers\immediate.js","type='breadth' n=5000000",3657577.3188070944,1.367025100
"new","timers\immediate.js","type='breadth1' n=5000000",1967550.139965614,2.541231300
"new","timers\immediate.js","type='breadth4' n=5000000",1255412.1445256574,1.991377900
"new","timers\immediate.js","type='clear' n=5000000",21478087.62544277,0.931181600
"old","timers\immediate.js","type='depth' n=5000000",773575.035718667,6.463497100
"old","timers\immediate.js","type='depth1' n=5000000",773854.5860990767,6.461162200
"old","timers\immediate.js","type='breadth' n=5000000",3542206.1299010585,1.411549700
"old","timers\immediate.js","type='breadth1' n=5000000",1881279.8060566073,2.657765200
"old","timers\immediate.js","type='breadth4' n=5000000",1185994.2054220715,2.107936100
"old","timers\immediate.js","type='clear' n=5000000",21355543.098155413,0.936525000
"new","timers\immediate.js","type='depth' n=5000000",804227.4052712603,6.217147000
"new","timers\immediate.js","type='depth1' n=5000000",799050.0254057955,6.257430500
"new","timers\immediate.js","type='breadth' n=5000000",3838438.5845988025,1.302613000
"new","timers\immediate.js","type='breadth1' n=5000000",1924729.4513670334,2.597767700
"new","timers\immediate.js","type='breadth4' n=5000000",1248939.6502369486,2.001698000
"new","timers\immediate.js","type='clear' n=5000000",21436199.65333378,0.933001200
"old","timers\immediate.js","type='depth' n=5000000",775855.2722057963,6.444500900
"old","timers\immediate.js","type='depth1' n=5000000",773804.657130948,6.461579100
"old","timers\immediate.js","type='breadth' n=5000000",3555168.2476262855,1.406403200
"old","timers\immediate.js","type='breadth1' n=5000000",1804052.2187966078,2.771538400
"old","timers\immediate.js","type='breadth4' n=5000000",1185701.652232567,2.108456200
"old","timers\immediate.js","type='clear' n=5000000",21319643.279728644,0.938102000
"new","timers\immediate.js","type='depth' n=5000000",794478.7161376487,6.293434800
"new","timers\immediate.js","type='depth1' n=5000000",798786.9812611444,6.259491100
"new","timers\immediate.js","type='breadth' n=5000000",3896471.378898098,1.283212300
"new","timers\immediate.js","type='breadth1' n=5000000",2023493.6516326617,2.470973900
"new","timers\immediate.js","type='breadth4' n=5000000",1236489.0694118966,2.021853700
"new","timers\immediate.js","type='clear' n=5000000",21472163.755309664,0.931438500
"old","timers\immediate.js","type='depth' n=5000000",776191.860842833,6.441706300
"old","timers\immediate.js","type='depth1' n=5000000",770372.5443046258,6.490366300
"old","timers\immediate.js","type='breadth' n=5000000",3546096.7758178893,1.410001000
"old","timers\immediate.js","type='breadth1' n=5000000",1857940.3913268368,2.691152000
"old","timers\immediate.js","type='breadth4' n=5000000",1053316.5673424255,2.373455500
"old","timers\immediate.js","type='clear' n=5000000",21383074.35579212,0.935319200
"new","timers\immediate.js","type='depth' n=5000000",802019.0605283463,6.234265800
"new","timers\immediate.js","type='depth1' n=5000000",790193.8585754018,6.327561200
"new","timers\immediate.js","type='breadth' n=5000000",3704555.751526555,1.349689500
"new","timers\immediate.js","type='breadth1' n=5000000",1978457.447376791,2.527221400
"new","timers\immediate.js","type='breadth4' n=5000000",1236158.425074831,2.022394500
"new","timers\immediate.js","type='clear' n=5000000",21848198.064402588,0.915407300
"old","timers\immediate.js","type='depth' n=5000000",777893.0148489975,6.427619100
"old","timers\immediate.js","type='depth1' n=5000000",772844.0290850886,6.469610700
"old","timers\immediate.js","type='breadth' n=5000000",3601077.2694673156,1.388473400
"old","timers\immediate.js","type='breadth1' n=5000000",1829859.5827971387,2.732450100
"old","timers\immediate.js","type='breadth4' n=5000000",1161726.556148986,2.151969400
"old","timers\immediate.js","type='clear' n=5000000",21341093.5240345,0.937159100
"new","timers\immediate.js","type='depth' n=5000000",795504.7110664045,6.285317900
"new","timers\immediate.js","type='depth1' n=5000000",799691.9330772368,6.252407700
"new","timers\immediate.js","type='breadth' n=5000000",3652668.8846159154,1.368862100
"new","timers\immediate.js","type='breadth1' n=5000000",1982612.802936297,2.521924600
"new","timers\immediate.js","type='breadth4' n=5000000",1225868.4726487903,2.039370500
"new","timers\immediate.js","type='clear' n=5000000",21797726.03942184,0.917526900
"old","timers\immediate.js","type='depth' n=5000000",777124.8029794344,6.433973000
"old","timers\immediate.js","type='depth1' n=5000000",771758.0155211958,6.478714700
"old","timers\immediate.js","type='breadth' n=5000000",3576966.993823222,1.397832300
"old","timers\immediate.js","type='breadth1' n=5000000",1853739.9890162197,2.697249900
"old","timers\immediate.js","type='breadth4' n=5000000",1181275.9632643966,2.116355600
"old","timers\immediate.js","type='clear' n=5000000",21354131.688154083,0.936586900
"new","timers\immediate.js","type='depth' n=5000000",803110.5822074673,6.225792700
"new","timers\immediate.js","type='depth1' n=5000000",800899.044416916,6.242984100
"new","timers\immediate.js","type='breadth' n=5000000",3880623.936029932,1.288452600
