"binary","filename","configuration","rate","time"
"old","tls\convertprotocols.js","n=1",3154.5741324921137,0.000317000
"old","tls\convertprotocols.js","n=50000",1716885.5695767878,0.029122500
"new","tls\convertprotocols.js","n=1",3498.950314905528,0.000285800
"new","tls\convertprotocols.js","n=50000",1673304.1062882768,0.029881000
"old","tls\convertprotocols.js","n=1",3235.1989647363316,0.000309100
"old","tls\convertprotocols.js","n=50000",1640339.2221511407,0.030481500
"new","tls\convertprotocols.js","n=1",3604.9026676279736,0.000277400
"new","tls\convertprotocols.js","n=50000",1687404.87255031,0.029631300
"old","tls\convertprotocols.js","n=1",3384.09475465313,0.000295500
"old","tls\convertprotocols.js","n=50000",1699749.4569300485,0.029416100
"new","tls\convertprotocols.js","n=1",3496.5034965034965,0.000286000
"new","tls\convertprotocols.js","n=50000",1676125.6021481224,0.029830700
"old","tls\convertprotocols.js","n=1",3078.817733990148,0.000324800
"old","tls\convertprotocols.js","n=50000",1660848.1619393392,0.030105100
"new","tls\convertprotocols.js","n=1",2102.1652301870927,0.000475700
"new","tls\convertprotocols.js","n=50000",1698634.976932537,0.029435400
"old","tls\convertprotocols.js","n=1",3395.585738539898,0.000294500
"old","tls\convertprotocols.js","n=50000",1687792.199024456,0.029624500
"new","tls\convertprotocols.js","n=1",3463.8032559750604,0.000288700
"new","tls\convertprotocols.js","n=50000",1715389.4448656677,0.029147900
"old","tls\convertprotocols.js","n=1",3189.792663476874,0.000313500
"old","tls\convertprotocols.js","n=50000",1541958.2252677612,0.032426300
"new","tls\convertprotocols.js","n=1",3724.3947858472993,0.000268500
"new","tls\convertprotocols.js","n=50000",1715883.9376104602,0.029139500
"old","tls\convertprotocols.js","n=1",2506.2656641604012,0.000399000
"old","tls\convertprotocols.js","n=50000",1685539.0859658646,0.029664100
"new","tls\convertprotocols.js","n=1",3077.8701138811944,0.000324900
"new","tls\convertprotocols.js","n=50000",1693525.9888498248,0.029524200
"old","tls\convertprotocols.js","n=1",3146.6331025802388,0.000317800
"old","tls\convertprotocols.js","n=50000",1619228.6642335057,0.030878900
"new","tls\convertprotocols.js","n=1",3543.5861091424526,0.000282200
"new","tls\convertprotocols.js","n=50000",1722830.9558266143,0.029022000
"old","tls\convertprotocols.js","n=1",3094.059405940594,0.000323200
"old","tls\convertprotocols.js","n=50000",1695070.396273557,0.029497300
"new","tls\convertprotocols.js","n=1",2114.164904862579,0.000473000
"new","tls\convertprotocols.js","n=50000",1680807.8634915086,0.029747600
"old","tls\convertprotocols.js","n=1",3125.976867771178,0.000319900
"old","tls\convertprotocols.js","n=50000",1680909.5737885686,0.029745800
"new","tls\convertprotocols.js","n=1",3276.53997378768,0.000305200
"new","tls\convertprotocols.js","n=50000",1685874.3956140291,0.029658200
"old","tls\secure-pair.js","size=100 securing='SecurePair' dur=5",1296.3463491139457,4.999781400
"old","tls\secure-pair.js","size=1024 securing='SecurePair' dur=5",1408.7808781027593,5.000339600
"old","tls\secure-pair.js","size=1048576 securing='SecurePair' dur=5",2161.9789667935793,5.000569000
"old","tls\secure-pair.js","size=100 securing='TLSSocket' dur=5",1375.8819438308628,4.999674000
"old","tls\secure-pair.js","size=1024 securing='TLSSocket' dur=5",1450.951649557099,4.999999700
"old","tls\secure-pair.js","size=1048576 securing='TLSSocket' dur=5",2349.033679651459,5.002269700
"old","tls\secure-pair.js","size=100 securing='clear' dur=5",2472.454415078402,4.999898400
"old","tls\secure-pair.js","size=1024 securing='clear' dur=5",3350.334682337034,5.000801700
"old","tls\secure-pair.js","size=1048576 securing='clear' dur=5",4679.609457303865,5.001378900
"new","tls\secure-pair.js","size=100 securing='SecurePair' dur=5",1305.6810320671407,5.000259900
"new","tls\secure-pair.js","size=1024 securing='SecurePair' dur=5",1445.6638616687744,4.999611600
"new","tls\secure-pair.js","size=1048576 securing='SecurePair' dur=5",2307.0677238235216,4.999636500
"new","tls\secure-pair.js","size=100 securing='TLSSocket' dur=5",1386.8641870658028,4.999419000
"new","tls\secure-pair.js","size=1024 securing='TLSSocket' dur=5",1488.3391001723023,4.999532700
"new","tls\secure-pair.js","size=1048576 securing='TLSSocket' dur=5",2381.5636097080437,5.000076400
"new","tls\secure-pair.js","size=100 securing='clear' dur=5",2501.678500779838,4.999758700
"new","tls\secure-pair.js","size=1024 securing='clear' dur=5",3426.61757477928,4.999787400
"new","tls\secure-pair.js","size=1048576 securing='clear' dur=5",5001.313993492782,5.000785800
