"binary","filename","configuration","rate","time"
"old","url\legacy-url-get-prop.js","e=1 type='long'",2762430.9392265193,0.000144800
"old","url\legacy-url-get-prop.js","e=1 type='short'",2312138.7283236994,0.000173000
"old","url\legacy-url-get-prop.js","e=1 type='idn'",1969473.1659281142,0.000203100
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2700877.785280216,0.000148100
"old","url\legacy-url-get-prop.js","e=1 type='file'",2232142.8571428573,0.000179200
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2652519.893899204,0.000150800
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3555555.5555555555,0.000112500
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1185887.9335902757,0.000337300
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2551020.4081632653,0.000156800
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",3739376.770538244,0.000141200
"new","url\legacy-url-get-prop.js","e=1 type='long'",2536461.636017755,0.000157700
"new","url\legacy-url-get-prop.js","e=1 type='short'",2252252.2522522523,0.000177600
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2230897.936419409,0.000179300
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2619515.3896529144,0.000152700
"new","url\legacy-url-get-prop.js","e=1 type='file'",2340550.029256875,0.000170900
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2411091.0186859556,0.000165900
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3303055.326176713,0.000121100
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1920307.2491598655,0.000208300
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2416918.429003021,0.000165500
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4349258.6490939045,0.000121400
"old","url\legacy-url-get-prop.js","e=1 type='long'",2704530.087897228,0.000147900
"old","url\legacy-url-get-prop.js","e=1 type='short'",2244668.911335578,0.000178200
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2366863.905325444,0.000169000
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2838892.8317955993,0.000140900
"old","url\legacy-url-get-prop.js","e=1 type='file'",2133333.3333333335,0.000187500
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2881844.380403458,0.000138800
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",2894356.005788712,0.000138200
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1506591.3370998118,0.000265500
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2495321.272613849,0.000160300
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4264943.457189014,0.000123800
"new","url\legacy-url-get-prop.js","e=1 type='long'",2609262.8832354858,0.000153300
"new","url\legacy-url-get-prop.js","e=1 type='short'",2403846.153846154,0.000166400
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2304147.465437788,0.000173600
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2565747.2738935216,0.000155900
"new","url\legacy-url-get-prop.js","e=1 type='file'",2168021.680216802,0.000184500
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2257336.3431151244,0.000177200
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3676470.588235294,0.000108800
"new","url\legacy-url-get-prop.js","e=1 type='percent'",2259887.0056497175,0.000177000
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2200220.0220022,0.000181800
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",3784946.2365591396,0.000139500
"old","url\legacy-url-get-prop.js","e=1 type='long'",2828854.314002829,0.000141400
"old","url\legacy-url-get-prop.js","e=1 type='short'",2014098.690835851,0.000198600
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2354326.074161271,0.000169900
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2805049.0883590463,0.000142600
"old","url\legacy-url-get-prop.js","e=1 type='file'",2463054.1871921183,0.000162400
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2722940.7760381214,0.000146900
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3642987.2495446266,0.000109800
"old","url\legacy-url-get-prop.js","e=1 type='percent'",2254791.431792559,0.000177400
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2361275.088547816,0.000169400
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",3453237.4100719425,0.000152900
"new","url\legacy-url-get-prop.js","e=1 type='long'",2697235.3337828727,0.000148300
"new","url\legacy-url-get-prop.js","e=1 type='short'",2437538.086532602,0.000164100
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2169197.3969631237,0.000184400
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2844950.213371266,0.000140600
"new","url\legacy-url-get-prop.js","e=1 type='file'",2433090.0243309,0.000164400
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2691790.0403768504,0.000148600
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3773584.9056603773,0.000106000
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1446131.5979754156,0.000276600
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2534854.245880862,0.000157800
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4532188.841201717,0.000116500
"old","url\legacy-url-get-prop.js","e=1 type='long'",2879769.618430526,0.000138900
"old","url\legacy-url-get-prop.js","e=1 type='short'",2600780.234070221,0.000153800
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2368265.245707519,0.000168900
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2684563.758389262,0.000149000
"old","url\legacy-url-get-prop.js","e=1 type='file'",2010050.2512562813,0.000199000
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2708192.281651997,0.000147700
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3508771.9298245613,0.000114000
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1668752.607425949,0.000239700
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2564102.564102564,0.000156000
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4183835.182250396,0.000126200
"new","url\legacy-url-get-prop.js","e=1 type='long'",2702702.702702703,0.000148000
"new","url\legacy-url-get-prop.js","e=1 type='short'",2528445.0063211126,0.000158200
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2188183.807439825,0.000182800
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2672010.688042752,0.000149700
"new","url\legacy-url-get-prop.js","e=1 type='file'",2347417.840375587,0.000170400
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2793296.0893854746,0.000143200
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3336113.4278565473,0.000119900
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1830663.6155606408,0.000218500
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2083333.3333333333,0.000192000
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",3969924.812030075,0.000133000
"old","url\legacy-url-get-prop.js","e=1 type='long'",2781641.1682892907,0.000143800
"old","url\legacy-url-get-prop.js","e=1 type='short'",2340550.029256875,0.000170900
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2612671.456564337,0.000153100
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2971768.202080238,0.000134600
"old","url\legacy-url-get-prop.js","e=1 type='file'",2443494.196701283,0.000163700
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2351557.9071134627,0.000170100
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3254678.6004882017,0.000122900
"old","url\legacy-url-get-prop.js","e=1 type='percent'",2217294.9002217297,0.000180400
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2702702.702702703,0.000148000
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4058416.6026133746,0.000130100
"new","url\legacy-url-get-prop.js","e=1 type='long'",2721088.4353741496,0.000147000
"new","url\legacy-url-get-prop.js","e=1 type='short'",2479851.2089274647,0.000161300
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2403846.153846154,0.000166400
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2781641.1682892907,0.000143800
"new","url\legacy-url-get-prop.js","e=1 type='file'",2418379.685610641,0.000165400
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2779708.1306462823,0.000143900
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3787878.7878787876,0.000105600
"new","url\legacy-url-get-prop.js","e=1 type='percent'",2352941.176470588,0.000170000
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2276607.8542970973,0.000175700
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4429530.201342282,0.000119200
"old","url\legacy-url-get-prop.js","e=1 type='long'",2544529.262086514,0.000157200
"old","url\legacy-url-get-prop.js","e=1 type='short'",2403846.153846154,0.000166400
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2442002.442002442,0.000163800
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2898550.724637681,0.000138000
"old","url\legacy-url-get-prop.js","e=1 type='file'",1346801.3468013469,0.000297000
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2824858.757062147,0.000141600
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3244120.0324412007,0.000123300
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1679966.4006719866,0.000238100
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2523659.3059936906,0.000158500
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4077220.077220077,0.000129500
"new","url\legacy-url-get-prop.js","e=1 type='long'",2557544.757033248,0.000156400
"new","url\legacy-url-get-prop.js","e=1 type='short'",2010050.2512562813,0.000199000
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2274019.329164298,0.000175900
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2504696.3055729493,0.000159700
"new","url\legacy-url-get-prop.js","e=1 type='file'",2095337.8732320587,0.000190900
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2344665.8851113715,0.000170600
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3225806.4516129033,0.000124000
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1766004.4150110376,0.000226500
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2332361.5160349854,0.000171500
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4334975.369458128,0.000121800
"old","url\legacy-url-get-prop.js","e=1 type='long'",2789400.278940028,0.000143400
"old","url\legacy-url-get-prop.js","e=1 type='short'",1878816.3457022076,0.000212900
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2158661.6297895303,0.000185300
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2724795.640326976,0.000146800
"old","url\legacy-url-get-prop.js","e=1 type='file'",2322880.3716608593,0.000172200
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2470660.901791229,0.000161900
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3707136.2372567193,0.000107900
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1895734.597156398,0.000211000
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2661343.9787092484,0.000150300
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",3978899.773926149,0.000132700
"new","url\legacy-url-get-prop.js","e=1 type='long'",2443494.196701283,0.000163700
"new","url\legacy-url-get-prop.js","e=1 type='short'",2737850.787132101,0.000146100
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2346041.055718475,0.000170500
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2326934.2641070387,0.000171900
"new","url\legacy-url-get-prop.js","e=1 type='file'",1887682.8692779613,0.000211900
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2322880.3716608593,0.000172200
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3249390.739236393,0.000123100
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1856148.4918793503,0.000215500
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2054442.7324088342,0.000194700
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",3742026.9312544297,0.000141100
"old","url\legacy-url-get-prop.js","e=1 type='long'",2400960.3841536613,0.000166600
"old","url\legacy-url-get-prop.js","e=1 type='short'",2414001.2070006034,0.000165700
"old","url\legacy-url-get-prop.js","e=1 type='idn'",1893939.3939393938,0.000211200
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2851033.499643621,0.000140300
"old","url\legacy-url-get-prop.js","e=1 type='file'",2507836.9905956113,0.000159500
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2487562.189054726,0.000160800
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3311258.2781456956,0.000120800
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1369394.0431359124,0.000292100
"old","url\legacy-url-get-prop.js","e=1 type='dot'",1991040.3185664508,0.000200900
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",3728813.559322034,0.000141600
"new","url\legacy-url-get-prop.js","e=1 type='long'",2354326.074161271,0.000169900
"new","url\legacy-url-get-prop.js","e=1 type='short'",2354326.074161271,0.000169900
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2348796.241926013,0.000170300
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2396644.697423607,0.000166900
"new","url\legacy-url-get-prop.js","e=1 type='file'",2266288.9518413595,0.000176500
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2599090.318388564,0.000153900
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3305785.123966942,0.000121000
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1210653.7530266345,0.000330400
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2108592.5144965737,0.000189700
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4086687.3065015483,0.000129200
"old","url\legacy-url-get-prop.js","e=1 type='long'",2149382.0526598603,0.000186100
"old","url\legacy-url-get-prop.js","e=1 type='short'",2501563.477173233,0.000159900
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2631578.947368421,0.000152000
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2156334.23180593,0.000185500
"old","url\legacy-url-get-prop.js","e=1 type='file'",2270147.5595913734,0.000176200
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2597402.5974025973,0.000154000
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3481288.076588338,0.000114900
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1567398.119122257,0.000255200
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2382370.4586063134,0.000167900
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4180522.565320665,0.000126300
"new","url\legacy-url-get-prop.js","e=1 type='long'",2522068.0958385877,0.000158600
"new","url\legacy-url-get-prop.js","e=1 type='short'",2154011.847065159,0.000185700
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2041858.090862685,0.000195900
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2605863.1921824105,0.000153500
"new","url\legacy-url-get-prop.js","e=1 type='file'",2288329.519450801,0.000174800
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2449479.485609308,0.000163300
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3475238.9226759337,0.000115100
"new","url\legacy-url-get-prop.js","e=1 type='percent'",2065049.0449148167,0.000193700
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2528445.0063211126,0.000158200
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4392678.868552413,0.000120200
"old","url\legacy-url-get-prop.js","e=1 type='long'",2402402.4024024024,0.000166500
"old","url\legacy-url-get-prop.js","e=1 type='short'",2490660.0249066004,0.000160600
"old","url\legacy-url-get-prop.js","e=1 type='idn'",2595717.0668397145,0.000154100
"old","url\legacy-url-get-prop.js","e=1 type='auth'",2677376.171352075,0.000149400
"old","url\legacy-url-get-prop.js","e=1 type='file'",1930501.9305019306,0.000207200
"old","url\legacy-url-get-prop.js","e=1 type='ws'",2628120.8935611034,0.000152200
"old","url\legacy-url-get-prop.js","e=1 type='javascript'",3777148.253068933,0.000105900
"old","url\legacy-url-get-prop.js","e=1 type='percent'",1677852.3489932886,0.000238400
"old","url\legacy-url-get-prop.js","e=1 type='dot'",2298850.574712644,0.000174000
"old","url\legacy-url-get-prop.js","e=1 type='wpt'",4045977.011494253,0.000130500
"new","url\legacy-url-get-prop.js","e=1 type='long'",2531645.5696202535,0.000158000
"new","url\legacy-url-get-prop.js","e=1 type='short'",2072538.860103627,0.000193000
"new","url\legacy-url-get-prop.js","e=1 type='idn'",2570694.087403599,0.000155600
"new","url\legacy-url-get-prop.js","e=1 type='auth'",2783576.896311761,0.000143700
"new","url\legacy-url-get-prop.js","e=1 type='file'",1581027.6679841895,0.000253000
"new","url\legacy-url-get-prop.js","e=1 type='ws'",2444987.775061125,0.000163600
"new","url\legacy-url-get-prop.js","e=1 type='javascript'",3386960.203217612,0.000118100
"new","url\legacy-url-get-prop.js","e=1 type='percent'",1479837.2179060304,0.000270300
"new","url\legacy-url-get-prop.js","e=1 type='dot'",2288329.519450801,0.000174800
"new","url\legacy-url-get-prop.js","e=1 type='wpt'",4024390.2439024393,0.000131200
"old","url\legacy-url-parse.js","e=1 type='long'",85177.06181725262,0.004696100
"old","url\legacy-url-parse.js","e=1 type='short'",128485.15996402416,0.003113200
"old","url\legacy-url-parse.js","e=1 type='idn'",141033.77758973272,0.002836200
"old","url\legacy-url-parse.js","e=1 type='auth'",97725.4403752657,0.004093100
"old","url\legacy-url-parse.js","e=1 type='file'",144159.7289797095,0.002774700
"old","url\legacy-url-parse.js","e=1 type='ws'",103220.47894302229,0.003875200
"old","url\legacy-url-parse.js","e=1 type='javascript'",163345.31198954588,0.002448800
"old","url\legacy-url-parse.js","e=1 type='percent'",135924.96941688188,0.002942800
"old","url\legacy-url-parse.js","e=1 type='dot'",130047.46732557383,0.003075800
"old","url\legacy-url-parse.js","e=1 type='wpt'",98514.8145383984,0.005359600
"new","url\legacy-url-parse.js","e=1 type='long'",88835.58753636706,0.004502700
"new","url\legacy-url-parse.js","e=1 type='short'",138154.94076606914,0.002895300
"new","url\legacy-url-parse.js","e=1 type='idn'",139577.081443227,0.002865800
"new","url\legacy-url-parse.js","e=1 type='auth'",100414.20861051838,0.003983500
"new","url\legacy-url-parse.js","e=1 type='file'",138073.86952019332,0.002897000
"new","url\legacy-url-parse.js","e=1 type='ws'",101757.86715510442,0.003930900
"new","url\legacy-url-parse.js","e=1 type='javascript'",161251.3101668951,0.002480600
