"binary","filename","configuration","rate","time"
"old","util\format.js","type='string' n=1000000",12196520.08888824,0.081990600
"old","util\format.js","type='string-2' n=1000000",9812656.757191695,0.101909200
"old","util\format.js","type='number' n=1000000",11889941.9414135,0.084104700
"old","util\format.js","type='replace-object' n=1000000",3703209.9423780534,0.270036000
"old","util\format.js","type='unknown' n=1000000",15508324.092956895,0.064481500
"old","util\format.js","type='no-replace' n=1000000",11271136.198155591,0.088722200
"old","util\format.js","type='no-replace-2' n=1000000",20212064.985831343,0.049475400
"old","util\format.js","type='only-objects' n=1000000",458040.4489107867,2.183213300
"old","util\format.js","type='many-%' n=1000000",5151558.861711553,0.194116000
"old","util\format.js","type='object-to-string' n=1000000",7497758.170307078,0.133373200
"old","util\format.js","type='object-%s' n=1000000",652497.5944044938,1.532572700
"new","util\format.js","type='string' n=1000000",12239482.612591,0.081702800
"new","util\format.js","type='string-2' n=1000000",9448027.346370352,0.105842200
"new","util\format.js","type='number' n=1000000",11806445.138401054,0.084699500
"new","util\format.js","type='replace-object' n=1000000",3957499.6200800366,0.252684800
"new","util\format.js","type='unknown' n=1000000",17583839.747918073,0.056870400
"new","util\format.js","type='no-replace' n=1000000",11888203.335829856,0.084117000
"new","util\format.js","type='no-replace-2' n=1000000",20515808.45620593,0.048742900
"new","util\format.js","type='only-objects' n=1000000",486095.45816222567,2.057209100
"new","util\format.js","type='many-%' n=1000000",5339128.066995379,0.187296500
"new","util\format.js","type='object-to-string' n=1000000",7310609.522068902,0.136787500
"new","util\format.js","type='object-%s' n=1000000",683364.8694831185,1.463347100
"old","util\format.js","type='string' n=1000000",12140489.74735641,0.082369000
"old","util\format.js","type='string-2' n=1000000",9459878.762193784,0.105709600
"old","util\format.js","type='number' n=1000000",11876808.986468751,0.084197700
"old","util\format.js","type='replace-object' n=1000000",3730992.4589180415,0.268025200
"old","util\format.js","type='unknown' n=1000000",17050560.02564404,0.058649100
"old","util\format.js","type='no-replace' n=1000000",11044171.162564678,0.090545500
"old","util\format.js","type='no-replace-2' n=1000000",20306753.823254075,0.049244700
"old","util\format.js","type='only-objects' n=1000000",459472.63018031267,2.176408200
"old","util\format.js","type='many-%' n=1000000",5177406.419673316,0.193146900
"old","util\format.js","type='object-to-string' n=1000000",7491405.485057268,0.133486300
"old","util\format.js","type='object-%s' n=1000000",657951.1821277299,1.519869600
"new","util\format.js","type='string' n=1000000",12684560.35313816,0.078836000
"new","util\format.js","type='string-2' n=1000000",9997950.420163866,0.100020500
"new","util\format.js","type='number' n=1000000",11840513.02574838,0.084455800
"new","util\format.js","type='replace-object' n=1000000",3944681.3663902893,0.253505900
"new","util\format.js","type='unknown' n=1000000",17951742.126814697,0.055704900
"new","util\format.js","type='no-replace' n=1000000",11705380.260983158,0.085430800
