"binary","filename","configuration","rate","time"
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2621201.0605379487,0.381504500
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",588585.2946319667,1.698989100
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2712248.3508173903,0.368697800
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",650984.4512363822,1.536135000
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2645613.229336041,0.377984200
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",593279.601581897,1.685545900
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2734359.939658145,0.365716300
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",656149.8100249455,1.524042200
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2635129.437557973,0.379488000
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",594661.9103228431,1.681627800
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2759628.6202188055,0.362367600
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",659082.9941033162,1.517259600
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2644292.4270109185,0.378173000
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",594995.9177330085,1.680683800
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2735727.3683533794,0.365533500
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",650475.9304716686,1.537335900
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2626731.24572992,0.380701300
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",597745.6024603209,1.672952500
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2750670.6822791067,0.363547700
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",657161.9580245685,1.521694900
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2650689.7227193,0.377260300
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",595965.0661965217,1.677950700
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2744474.3439677143,0.364368500
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",652355.5940764286,1.532906300
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2655629.8689313876,0.376558500
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",593560.5447484998,1.684748100
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2764610.5520761395,0.361714600
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",663591.8034467621,1.506950500
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2651884.0044721374,0.377090400
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",592585.9907457031,1.687518800
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2727171.32608433,0.366680300
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",659442.4308736175,1.516432600
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2594603.7949194023,0.385415300
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",596654.5816270007,1.676011600
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2744135.439548754,0.364413500
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",656981.1440498828,1.522113700
"old","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2632392.9109658906,0.379882500
"old","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",600761.2365780929,1.664554800
"new","v8\get-stats.js","n=1000000 method='getHeapStatistics'",2687859.9044412044,0.372043200
"new","v8\get-stats.js","n=1000000 method='getHeapSpaceStatistics'",663705.3021027247,1.506692800
"old","v8\serialize.js","n=1000000 len=256",160725.23598201506,6.221798300
"old","v8\serialize.js","n=1000000 len=16384",50781.33868881456,19.692273300
"old","v8\serialize.js","n=1000000 len=524288",1441.4047392772059,693.767664800
"new","v8\serialize.js","n=1000000 len=256",184696.45101336663,5.414289200
"new","v8\serialize.js","n=1000000 len=16384",52914.204855333366,18.898517000
"new","v8\serialize.js","n=1000000 len=524288",1439.7882430635234,694.546579900
"old","v8\serialize.js","n=1000000 len=256",166986.53772901348,5.988506700
"old","v8\serialize.js","n=1000000 len=16384",50465.87343969423,19.815370900
"old","v8\serialize.js","n=1000000 len=524288",1441.7526644581524,693.600244100
"new","v8\serialize.js","n=1000000 len=256",184915.54407829975,5.407874200
"new","v8\serialize.js","n=1000000 len=16384",53305.40897500932,18.759822300
"new","v8\serialize.js","n=1000000 len=524288",1428.990495957405,699.794717200
"old","v8\serialize.js","n=1000000 len=256",169289.7320631096,5.907032800
"old","v8\serialize.js","n=1000000 len=16384",51350.49306255609,19.474009700
"old","v8\serialize.js","n=1000000 len=524288",1436.0724737192284,696.343686200
"new","v8\serialize.js","n=1000000 len=256",184261.01722879204,5.427083900
"new","v8\serialize.js","n=1000000 len=16384",53674.868381574066,18.630693100
"new","v8\serialize.js","n=1000000 len=524288",1448.8924744238143,690.182341100
"old","v8\serialize.js","n=1000000 len=256",172184.63613365873,5.807719100
"old","v8\serialize.js","n=1000000 len=16384",51801.36957537418,19.304508900
"old","v8\serialize.js","n=1000000 len=524288",1436.6763763663757,696.050980200
"new","v8\serialize.js","n=1000000 len=256",186234.76292351924,5.369566800
"new","v8\serialize.js","n=1000000 len=16384",53141.6981345675,18.817614700
"new","v8\serialize.js","n=1000000 len=524288",1431.348992371847,698.641634800
"old","v8\serialize.js","n=1000000 len=256",174223.31854374812,5.739759800
"old","v8\serialize.js","n=1000000 len=16384",51240.34610742693,19.515871300
"old","v8\serialize.js","n=1000000 len=524288",1430.904071422227,698.858868300
"new","v8\serialize.js","n=1000000 len=256",185772.66026115103,5.382923400
"new","v8\serialize.js","n=1000000 len=16384",53359.01595260093,18.740975300
"new","v8\serialize.js","n=1000000 len=524288",1427.4698496805815,700.540190200
"old","v8\serialize.js","n=1000000 len=256",168229.62927186128,5.944256100
"old","v8\serialize.js","n=1000000 len=16384",50376.18491650678,19.850649700
"old","v8\serialize.js","n=1000000 len=524288",1432.035113790834,698.306899300
"new","v8\serialize.js","n=1000000 len=256",188536.51602580183,5.304012300
"new","v8\serialize.js","n=1000000 len=16384",54044.909071169925,18.503130400
"new","v8\serialize.js","n=1000000 len=524288",1441.3151194943193,693.810802700
"old","v8\serialize.js","n=1000000 len=256",169439.33810759167,5.901817200
"old","v8\serialize.js","n=1000000 len=16384",51573.11859084417,19.389946300
"old","v8\serialize.js","n=1000000 len=524288",1443.8359353777587,692.599467500
"new","v8\serialize.js","n=1000000 len=256",182854.83575155807,5.468819000
"new","v8\serialize.js","n=1000000 len=16384",52772.34361898853,18.949319500
"new","v8\serialize.js","n=1000000 len=524288",1414.272380592383,707.077373300
"old","v8\serialize.js","n=1000000 len=256",165495.23074189093,6.042470200
"old","v8\serialize.js","n=1000000 len=16384",50272.59838886678,19.891551900
"old","v8\serialize.js","n=1000000 len=524288",1416.3278866542794,706.051197200
"new","v8\serialize.js","n=1000000 len=256",179839.05950789954,5.560527300
"new","v8\serialize.js","n=1000000 len=16384",52269.49413128835,19.131618100
"new","v8\serialize.js","n=1000000 len=524288",1440.4341362470695,694.235144000
"old","v8\serialize.js","n=1000000 len=256",167575.5489645113,5.967457700
"old","v8\serialize.js","n=1000000 len=16384",50977.03814762657,19.616675200
"old","v8\serialize.js","n=1000000 len=524288",1415.1691325796103,706.629318700
"new","v8\serialize.js","n=1000000 len=256",181268.65107138746,5.516673700
"new","v8\serialize.js","n=1000000 len=16384",53187.55376563599,18.801391100
"new","v8\serialize.js","n=1000000 len=524288",1413.6122583211106,707.407561100
"old","v8\serialize.js","n=1000000 len=256",170249.64130528696,5.873727500
"old","v8\serialize.js","n=1000000 len=16384",51214.59824186021,19.525682800
"old","v8\serialize.js","n=1000000 len=524288",1407.5627414856515,710.447904400
"new","v8\serialize.js","n=1000000 len=256",178315.48217041328,5.608038000
"new","v8\serialize.js","n=1000000 len=16384",52376.84416576821,19.092406500
"new","v8\serialize.js","n=1000000 len=524288",1414.8952972244942,706.766078000
