"binary","filename","configuration","rate","time"
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",10814266.699715067,0.924704400
"old","validators\parse-file-mode.js","value='0o777' n=10000000",220495983.66565755,0.045352300
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",9939976.458159758,1.006038600
"new","validators\parse-file-mode.js","value='0o777' n=10000000",223177919.6693396,0.044807300
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",11175076.004485674,0.894848500
"old","validators\parse-file-mode.js","value='0o777' n=10000000",219619004.95021236,0.045533400
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",9725624.569884254,1.028211600
"new","validators\parse-file-mode.js","value='0o777' n=10000000",221011081.4956262,0.045246600
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",11224494.720951766,0.890908700
"old","validators\parse-file-mode.js","value='0o777' n=10000000",219237186.13456342,0.045612700
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",9284686.404610107,1.077042300
"new","validators\parse-file-mode.js","value='0o777' n=10000000",221609103.70198008,0.045124500
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",11222320.567158125,0.891081300
"old","validators\parse-file-mode.js","value='0o777' n=10000000",222626412.8428725,0.044918300
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",9895040.338616196,1.010607300
"new","validators\parse-file-mode.js","value='0o777' n=10000000",219585247.3847397,0.045540400
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",10931621.17909778,0.914777400
"old","validators\parse-file-mode.js","value='0o777' n=10000000",221942081.99428275,0.045056800
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",10021246.043737328,0.997879900
"new","validators\parse-file-mode.js","value='0o777' n=10000000",222725085.9718832,0.044898400
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",11210795.009043748,0.891997400
"old","validators\parse-file-mode.js","value='0o777' n=10000000",221611559.25893095,0.045124000
"new","validators\parse-file-mode.js","value=""'777'"" n=10000000",10023601.572262049,0.997645400
"new","validators\parse-file-mode.js","value='0o777' n=10000000",220831962.3349005,0.045283300
"old","validators\parse-file-mode.js","value=""'777'"" n=10000000",10788209.220919762,0.926937900
"old","validators\parse-file-mode.js","value='0o777' n=10000000",221773254.58904305,0.045091100
