"binary","filename","configuration","rate","time"
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",913.119425976604,0.109514700
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",914.0592365228821,0.109402100
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",882.8977410178398,0.113263400
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",912.1091612244154,0.109636000
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",895.4435355692559,0.111676500
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",900.6696478832012,0.111028500
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",889.9314930736632,0.112368200
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",931.3735990976853,0.107368300
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",915.7073106408852,0.109205200
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",900.4912179593969,0.111050500
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",918.165725240743,0.108912800
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",938.0572646437774,0.106603300
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",891.2910172126121,0.112196800
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",918.7452512354827,0.108844100
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",921.8968950512575,0.108472000
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",935.8809259980235,0.106851200
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",890.9233618814876,0.112243100
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",906.1754953834889,0.110353900
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",931.4065636220538,0.107364500
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",918.008106011576,0.108931500
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",898.0957675440762,0.111346700
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",908.3171879953167,0.110093700
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",928.204323761381,0.107734900
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",880.7709211718834,0.113536900
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",915.4139227134334,0.109240200
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",919.1615775753988,0.108794800
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",902.2111390596073,0.110838800
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",923.5426727509657,0.108278700
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",918.8473978241694,0.108832000
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",911.8554891420807,0.109666500
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",863.4825459955565,0.115810100
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",914.6871312667503,0.109327000
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",915.6393955681222,0.109213300
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",913.2436771574013,0.109499800
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",918.7697305799642,0.108841200
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",921.4220490767813,0.108527900
"old","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",904.7628526087027,0.110526200
"old","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",881.5380370439914,0.113438100
"new","vm\compile-script-in-isolate-cache.js","n=100 type='with-dynamic-import-callback'",923.1820237996326,0.108321000
"new","vm\compile-script-in-isolate-cache.js","n=100 type='without-dynamic-import-callback'",936.6084658166009,0.106768200
"old","vm\context-global-proxy.js","n=100000",368029.43057750445,0.271717400
"new","vm\context-global-proxy.js","n=100000",418138.6890766703,0.239155100
"old","vm\context-global-proxy.js","n=100000",372927.2702320502,0.268148800
"new","vm\context-global-proxy.js","n=100000",408872.5339875294,0.244575000
"old","vm\context-global-proxy.js","n=100000",372957.73008974484,0.268126900
"new","vm\context-global-proxy.js","n=100000",419197.39628113224,0.238551100
"old","vm\context-global-proxy.js","n=100000",375217.4854349953,0.266512100
"new","vm\context-global-proxy.js","n=100000",426081.8324245718,0.234696700
"old","vm\context-global-proxy.js","n=100000",368536.28810987686,0.271343700
"new","vm\context-global-proxy.js","n=100000",423261.9699543258,0.236260300
"old","vm\context-global-proxy.js","n=100000",370898.28225878533,0.269615700
"new","vm\context-global-proxy.js","n=100000",421480.32319111185,0.237259000
"old","vm\context-global-proxy.js","n=100000",371134.0818365496,0.269444400
"new","vm\context-global-proxy.js","n=100000",405614.6806555058,0.246539400
"old","vm\context-global-proxy.js","n=100000",370339.6458960442,0.270022400
"new","vm\context-global-proxy.js","n=100000",419508.487076202,0.238374200
"old","vm\context-global-proxy.js","n=100000",371014.9745353872,0.269530900
"new","vm\context-global-proxy.js","n=100000",421470.73054364667,0.237264400
"old","vm\context-global-proxy.js","n=100000",365797.6290460876,0.273375200
"new","vm\context-global-proxy.js","n=100000",414573.4163917354,0.241211800
"old","vm\create-context.js","n=100",2320.438655723478,0.043095300
"new","vm\create-context.js","n=100",2663.8323490472803,0.037539900
"old","vm\create-context.js","n=100",2265.24680996618,0.044145300
"new","vm\create-context.js","n=100",2643.327844022511,0.037831100
"old","vm\create-context.js","n=100",2315.575953206841,0.043185800
"new","vm\create-context.js","n=100",2681.288627314287,0.037295500
"old","vm\create-context.js","n=100",2282.427589984708,0.043813000
"new","vm\create-context.js","n=100",2600.6990679094542,0.038451200
"old","vm\create-context.js","n=100",2295.3890225315386,0.043565600
"new","vm\create-context.js","n=100",2620.9159577089004,0.038154600
"old","vm\create-context.js","n=100",2253.2418517141537,0.044380500
"new","vm\create-context.js","n=100",2598.8201356584113,0.038479000
"old","vm\create-context.js","n=100",2314.155923197793,0.043212300
"new","vm\create-context.js","n=100",2656.8116665913903,0.037639100
"old","vm\create-context.js","n=100",2252.8103809502354,0.044389000
"new","vm\create-context.js","n=100",2584.901075835828,0.038686200
"old","vm\create-context.js","n=100",2242.5698055916237,0.044591700
"new","vm\create-context.js","n=100",2544.0696464506414,0.039307100
"old","vm\create-context.js","n=100",2312.3846698145926,0.043245400
"new","vm\create-context.js","n=100",2633.248981590956,0.037975900
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=0 n=1",8944.54382826476,0.000111800
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=0 n=1",9680.54211035818,0.000103300
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=1 n=1",9460.73793755913,0.000105700
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=1 n=1",2938.583602703497,0.000340300
"new","vm\run-in-context.js","withSigintListener=0 breakOnSigint=0 n=1",10131.712259371834,0.000098700
"new","vm\run-in-context.js","withSigintListener=1 breakOnSigint=0 n=1",9960.1593625498,0.000100400
"new","vm\run-in-context.js","withSigintListener=0 breakOnSigint=1 n=1",9775.171065493645,0.000102300
"new","vm\run-in-context.js","withSigintListener=1 breakOnSigint=1 n=1",3236.245954692557,0.000309000
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=0 n=1",9671.17988394584,0.000103400
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=0 n=1",9009.009009009009,0.000111000
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=1 n=1",9107.468123861567,0.000109800
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=1 n=1",3055.300947143294,0.000327300
"new","vm\run-in-context.js","withSigintListener=0 breakOnSigint=0 n=1",8312.551953449709,0.000120300
"new","vm\run-in-context.js","withSigintListener=1 breakOnSigint=0 n=1",9940.357852882704,0.000100600
"new","vm\run-in-context.js","withSigintListener=0 breakOnSigint=1 n=1",9560.229445506693,0.000104600
"new","vm\run-in-context.js","withSigintListener=1 breakOnSigint=1 n=1",3279.763857002296,0.000304900
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=0 n=1",9718.172983479106,0.000102900
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=0 n=1",9633.911368015413,0.000103800
"old","vm\run-in-context.js","withSigintListener=0 breakOnSigint=1 n=1",9689.922480620155,0.000103200
"old","vm\run-in-context.js","withSigintListener=1 breakOnSigint=1 n=1",3018.412315122246,0.000331300
