"binary","filename","configuration","rate","time"
"old","webstreams\creation.js","kind='ReadableStream' n=50000",401127.32824329496,0.124648700
"old","webstreams\creation.js","kind='TransformStream' n=50000",97024.69880137627,0.515332700
"old","webstreams\creation.js","kind='WritableStream' n=50000",202892.68153924125,0.246435700
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2455325.3551628124,0.020363900
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2271364.45405484,0.022013200
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",145771.1072919081,0.343003500
"new","webstreams\creation.js","kind='ReadableStream' n=50000",431571.3426270783,0.115855700
"new","webstreams\creation.js","kind='TransformStream' n=50000",103316.43696323237,0.483950100
"new","webstreams\creation.js","kind='WritableStream' n=50000",214394.53482603384,0.233214900
"new","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2433658.4701049393,0.020545200
"new","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",1674133.301189974,0.029866200
"new","webstreams\creation.js","kind='ReadableStream.tee' n=50000",168673.54449911718,0.296430600
"old","webstreams\creation.js","kind='ReadableStream' n=50000",399931.21183156496,0.125021500
"old","webstreams\creation.js","kind='TransformStream' n=50000",98121.17572717604,0.509574000
"old","webstreams\creation.js","kind='WritableStream' n=50000",205220.22798325567,0.243640700
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2329861.8391929357,0.021460500
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",1563555.3998949293,0.031978400
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",151401.14186741196,0.330248500
"new","webstreams\creation.js","kind='ReadableStream' n=50000",418886.4155973195,0.119364100
"new","webstreams\creation.js","kind='TransformStream' n=50000",100408.01802203433,0.497968200
"new","webstreams\creation.js","kind='WritableStream' n=50000",213022.21864344896,0.234717300
"new","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2210257.362367274,0.022621800
"new","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2086497.8550802048,0.023963600
"new","webstreams\creation.js","kind='ReadableStream.tee' n=50000",164732.48761870622,0.303522400
"old","webstreams\creation.js","kind='ReadableStream' n=50000",386756.52825681877,0.129280300
"old","webstreams\creation.js","kind='TransformStream' n=50000",98770.30964492074,0.506225000
"old","webstreams\creation.js","kind='WritableStream' n=50000",208536.3086737758,0.239766400
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2589519.695886807,0.019308600
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2103058.2673323546,0.023774900
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",145275.31269784682,0.344174100
"new","webstreams\creation.js","kind='ReadableStream' n=50000",408343.6031749532,0.122445900
"new","webstreams\creation.js","kind='TransformStream' n=50000",99782.27507578465,0.501091000
"new","webstreams\creation.js","kind='WritableStream' n=50000",217957.99513517757,0.229402000
"new","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2644802.9621793176,0.018905000
"new","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2324165.2760411096,0.021513100
"new","webstreams\creation.js","kind='ReadableStream.tee' n=50000",168980.6882110285,0.295891800
"old","webstreams\creation.js","kind='ReadableStream' n=50000",384445.9326773661,0.130057300
"old","webstreams\creation.js","kind='TransformStream' n=50000",98644.2531140511,0.506871900
"old","webstreams\creation.js","kind='WritableStream' n=50000",202744.51190880715,0.246615800
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2463248.3348441254,0.020298400
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2222656.875122246,0.022495600
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",151208.10741582018,0.330670100
"new","webstreams\creation.js","kind='ReadableStream' n=50000",422696.7886034183,0.118288100
"new","webstreams\creation.js","kind='TransformStream' n=50000",102395.87926215168,0.488300900
"new","webstreams\creation.js","kind='WritableStream' n=50000",221001.31274779773,0.226243000
"new","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2562302.3824287555,0.019513700
"new","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",1951044.3940641426,0.025627300
"new","webstreams\creation.js","kind='ReadableStream.tee' n=50000",164913.4715506121,0.303189300
"old","webstreams\creation.js","kind='ReadableStream' n=50000",391183.9652127924,0.127817100
"old","webstreams\creation.js","kind='TransformStream' n=50000",97836.02369353686,0.511059200
"old","webstreams\creation.js","kind='WritableStream' n=50000",202556.83440938278,0.246844300
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2407410.9739421834,0.020769200
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2152741.300772404,0.023226200
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",159042.08317137547,0.314382200
"new","webstreams\creation.js","kind='ReadableStream' n=50000",398057.7963998061,0.125609900
"new","webstreams\creation.js","kind='TransformStream' n=50000",104970.47810273839,0.476324400
"new","webstreams\creation.js","kind='WritableStream' n=50000",213402.71482397692,0.234298800
"new","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2653632.0261541973,0.018842100
"new","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",1813085.3999485085,0.027577300
"new","webstreams\creation.js","kind='ReadableStream.tee' n=50000",165854.03716921655,0.301469900
"old","webstreams\creation.js","kind='ReadableStream' n=50000",398229.9475292222,0.125555600
"old","webstreams\creation.js","kind='TransformStream' n=50000",95663.95472110226,0.522662900
"old","webstreams\creation.js","kind='WritableStream' n=50000",201440.86622795532,0.248211800
"old","webstreams\creation.js","kind='ReadableStreamDefaultReader' n=50000",2531325.1487153526,0.019752500
"old","webstreams\creation.js","kind='ReadableStreamBYOBReader' n=50000",2072788.024259911,0.024122100
"old","webstreams\creation.js","kind='ReadableStream.tee' n=50000",154629.4351974324,0.323353700
"new","webstreams\creation.js","kind='ReadableStream' n=50000",421849.79447478015,0.118525600
"new","webstreams\creation.js","kind='TransformStream' n=50000",104718.44560965823,0.477470800
"new","webstreams\creation.js","kind='WritableStream' n=50000",206121.98793939024,0.242574800
