"binary","filename","configuration","rate","time"
"old","worker\atomics-wait.js","n=10000000",17088461.153313912,0.585190200
"new","worker\atomics-wait.js","n=10000000",16245243.392734606,0.615564800
"old","worker\atomics-wait.js","n=10000000",16882509.55127978,0.592329000
"new","worker\atomics-wait.js","n=10000000",16030617.19639574,0.623806300
"old","worker\atomics-wait.js","n=10000000",17043507.1310886,0.586733700
"new","worker\atomics-wait.js","n=10000000",16247642.670144094,0.615473900
"old","worker\atomics-wait.js","n=10000000",17036552.94653998,0.586973200
"new","worker\atomics-wait.js","n=10000000",16166428.858498156,0.618565800
"old","worker\atomics-wait.js","n=10000000",16830055.651945025,0.594175100
"new","worker\atomics-wait.js","n=10000000",16276616.540655812,0.614378300
"old","worker\atomics-wait.js","n=10000000",16831608.009354334,0.594120300
"new","worker\atomics-wait.js","n=10000000",15927736.496624274,0.627835600
"old","worker\atomics-wait.js","n=10000000",17131698.04422822,0.583713300
"new","worker\atomics-wait.js","n=10000000",16126961.764263814,0.620079600
"old","worker\atomics-wait.js","n=10000000",17262636.163358398,0.579285800
"new","worker\atomics-wait.js","n=10000000",15971601.215311078,0.626111300
"old","worker\atomics-wait.js","n=10000000",17141606.295357764,0.583375900
"new","worker\atomics-wait.js","n=10000000",16123339.678942386,0.620218900
"old","worker\atomics-wait.js","n=10000000",17009872.019423913,0.587893900
"new","worker\atomics-wait.js","n=10000000",16128725.292002507,0.620011800
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",9007272.471793726,0.111021400
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8222392.6998308655,0.121619100
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8593545.903284797,0.116366400
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",7945096.207169972,0.125863800
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8382763.696597603,0.119292400
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8202974.398516902,0.121907000
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8695092.663602516,0.115007400
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8096831.628815328,0.123505100
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8851437.473445687,0.112976000
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8226498.5389738595,0.121558400
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8827122.569893155,0.113287200
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8093024.46035713,0.123563200
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",9081439.626135293,0.110114700
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8162299.156426382,0.122514500
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8423421.829803078,0.118716600
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8096575.958027351,0.123509000
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8423230.258264663,0.118719300
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8092055.220184823,0.123578000
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8617539.795798777,0.116042400
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",7953734.715904526,0.125727100
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8918323.319542633,0.112128700
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",7887268.843868358,0.126786600
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8823773.363145921,0.113330200
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8193799.751727868,0.122043500
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8558969.157754641,0.116836500
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8032767.264224223,0.124490100
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8788064.402451167,0.113790700
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",7999027.318278098,0.125015200
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",9020711.553727359,0.110856000
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",7670629.313770161,0.130367400
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8661165.671643084,0.115457900
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8026886.860227016,0.124581300
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8970846.542904869,0.111472200
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8050965.834116289,0.124208700
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8561284.672132762,0.116804900
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8167946.039281285,0.122429800
"old","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",9065903.680212941,0.110303400
"old","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8042580.638934776,0.124338200
"new","worker\bench-eventlooputil.js","method='ELU_simple' n=1000000",8578102.335045237,0.116575900
"new","worker\bench-eventlooputil.js","method='ELU_passed' n=1000000",8140167.16647293,0.122847600
"old","worker\echo.js","n=100000 sendsPerBroadcast=1 payload='string' workers=1",67717.52069633655,1.476722700
"old","worker\echo.js","n=100000 sendsPerBroadcast=10 payload='string' workers=1",54995.79007226996,1.818321000
"old","worker\echo.js","n=100000 sendsPerBroadcast=1 payload='object' workers=1",50927.75602426972,1.963565800
"old","worker\echo.js","n=100000 sendsPerBroadcast=10 payload='object' workers=1",22975.049234381757,4.352547800
"new","worker\echo.js","n=100000 sendsPerBroadcast=1 payload='string' workers=1",55682.49617948473,1.795896500
