"binary","filename","configuration","rate","time"
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",46.92096201485368,2.131243600
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.7302306559762,2.286747600
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.59861959794574,2.293650600
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.4784272218085,2.299991200
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.37350630861143,2.305554900
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.341435725799364,2.307260900
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",43.15908442836203,2.317009300
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.9001022256637,2.044985500
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",47.65819769373403,2.098274900
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.66943602246892,2.054677600
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.11517001062286,2.078346600
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.31440696964309,2.069776000
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",47.87414614665067,2.088810100
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.36194232393448,2.067741600
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.22618776518978,2.073562200
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",47.961540983208714,2.085003900
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",47.70994870274025,2.095998900
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.08023552776496,2.079856700
"old","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.09588858067975,2.079179800
"new","zlib\createInflate.js","n=100 chunkLen=1024 inputLen=16777216",48.35189425556771,2.068171300
"old","zlib\creation.js","n=500000 options='true' type='Deflate'",305012.88679446705,1.639275000
"old","zlib\creation.js","n=500000 options='false' type='Deflate'",317500.63500127,1.574800000
"old","zlib\creation.js","n=500000 options='true' type='DeflateRaw'",307284.27199869615,1.627157800
"old","zlib\creation.js","n=500000 options='false' type='DeflateRaw'",331237.57113823696,1.509490600
"old","zlib\creation.js","n=500000 options='true' type='Inflate'",324497.3778989379,1.540844500
"old","zlib\creation.js","n=500000 options='false' type='Inflate'",309603.42773100565,1.614969200
"old","zlib\creation.js","n=500000 options='true' type='InflateRaw'",318814.2558177066,1.568311300
"old","zlib\creation.js","n=500000 options='false' type='InflateRaw'",316087.2744780514,1.581841600
"old","zlib\creation.js","n=500000 options='true' type='Gzip'",307015.3812863932,1.628582900
"old","zlib\creation.js","n=500000 options='false' type='Gzip'",316222.31212773913,1.581166100
"old","zlib\creation.js","n=500000 options='true' type='Gunzip'",304825.540722406,1.640282500
"old","zlib\creation.js","n=500000 options='false' type='Gunzip'",323519.7918085436,1.545500500
"old","zlib\creation.js","n=500000 options='true' type='Unzip'",304747.3047538873,1.640703600
"old","zlib\creation.js","n=500000 options='false' type='Unzip'",320837.833351311,1.558419700
"old","zlib\creation.js","n=500000 options='true' type='BrotliCompress'",209834.42762686787,2.382831100
"old","zlib\creation.js","n=500000 options='false' type='BrotliCompress'",218506.74327105205,2.288258900
"old","zlib\creation.js","n=500000 options='true' type='BrotliDecompress'",222782.84286947866,2.244338000
"old","zlib\creation.js","n=500000 options='false' type='BrotliDecompress'",216147.2640706141,2.313237700
"new","zlib\creation.js","n=500000 options='true' type='Deflate'",321823.17721605184,1.553648200
"new","zlib\creation.js","n=500000 options='false' type='Deflate'",330580.4357737751,1.512491200
"new","zlib\creation.js","n=500000 options='true' type='DeflateRaw'",323561.41198835155,1.545301700
"new","zlib\creation.js","n=500000 options='false' type='DeflateRaw'",322125.72051470535,1.552189000
"new","zlib\creation.js","n=500000 options='true' type='Inflate'",321378.6268943904,1.555797300
"new","zlib\creation.js","n=500000 options='false' type='Inflate'",342558.64312795503,1.459604100
"new","zlib\creation.js","n=500000 options='true' type='InflateRaw'",318687.47670394543,1.568935200
"new","zlib\creation.js","n=500000 options='false' type='InflateRaw'",324280.14509850234,1.541876700
"new","zlib\creation.js","n=500000 options='true' type='Gzip'",323253.30400434555,1.546774600
"new","zlib\creation.js","n=500000 options='false' type='Gzip'",329613.55645182607,1.516927900
